county,office,district,party,candidate,election_day,mail,provisional,votes
Montgomery,Judge of the Superior Court,,DEM,BRANDON NEUMAN,134115,71365,1332,206812
Montgomery,Judge of the Superior Court,,REP,MARIA BATTISTA,78301,15599,383,94283
Montgomery,Judge of the Superior Court,,LIBERAL,DANIEL WASSMER,3285,1521,37,4843
Montgomery,Judge of the Commonwealth Court,,DEM,STELLA TSAI,135135,72231,1360,208726
Montgomery,Judge of the Commonwealth Court,,REP,MATT WOLFORD,80010,16292,387,96689
Montgomery,Judge of the Court of Common Pleas - 38th District,,DEM/REP,LAUREN HUGHES,151168,73806,1377,226351
Montgomery,Judge of the Court of Common Pleas - 38th District,,DEM/REP,RAYMOND MCGARRY,137568,67556,1171,206295
Montgomery,Judge of the Court of Common Pleas - 38th District,,DEM/REP,MARY PUGH,134677,68383,1188,204248
Montgomery,Judge of the Court of Common Pleas - 38th District,,DEM,ANDREA BAPTISTE,133148,71526,1335,206009
Montgomery,Judge of the Court of Common Pleas - 38th District,,REP,MERRY BRODERICK WOODS,78017,15777,369,94163
Montgomery,Judge of the Court of Common Pleas - 38th District,,DEM/REP,JOHN I MCMAHON JR,3625,1950,57,5632
Montgomery,Judge of the Court of Common Pleas - 38th District,,DEM/REP,MAURICE MO SAYLOR,7869,2784,30,10683
Montgomery,Abington School Director,,DEM,ADRIENNE FLETCHER,11453,5083,100,16636
Montgomery,Abington School Director,,DEM,ANGELIQUE FRAZIER,10816,4902,92,15810
Montgomery,Abington School Director,,DEM,YAASIYN MUHAMMAD,10368,4723,86,15177
Montgomery,Abington School Director,,DEM/REP,BRIAN ALLEN,9506,4181,71,13758
Montgomery,Abington School Director,,REP,JOSEPH J ROONEY,5240,920,19,6179
Montgomery,Abington School Director,,REP,JOSEPH F O'BRIEN,5035,871,17,5923
Montgomery,Abington School Director,,REP,ROY J BANT JR,4630,847,18,5495
Montgomery,Boyertown Area School Director Region 2,,DEM,JASON SZCZUROWSKI,1108,563,3,1674
Montgomery,Boyertown Area School Director Region 2,,REP,ANTHONY PANARELLO,1503,211,4,1718
Montgomery,Boyertown Area School Director Region 3,,DEM,LYNNE CONNER,1607,1231,10,2848
Montgomery,Boyertown Area School Director Region 3,,REP,JEFFREY ZAWADA,2315,454,5,2774
Montgomery,Bryn Athyn School Director,,REP,KEITH E HYATT,312,34,0,346
Montgomery,Bryn Athyn School Director,,REP,EDMUND RHODES,294,36,0,330
Montgomery,Bryn Athyn School Director,,REP,TRINA ASPLUNDH,320,37,0,357
Montgomery,Bryn Athyn School Director,,WRITE-IN,JACK CLAUSER,124,2,0,126
Montgomery,Bryn Athyn School Director 2 Year Term,,WRITE-IN,BRAND ODHNER,93,0,0,93
Montgomery,Cheltenham School Director,,DEM,CAROLINE WATTS,8956,3525,72,12553
Montgomery,Cheltenham School Director,,DEM,DANIEL SCHULTZ,8371,3398,63,11832
Montgomery,Cheltenham School Director,,DEM,LEAH MULHEARN,8419,3409,67,11895
Montgomery,Cheltenham School Director,,DEM,ZACHARY EPPS,8252,3376,67,11695
Montgomery,Colonial School Director,,DEM/REP,GAIL PLANT,7718,3614,49,11381
Montgomery,Colonial School Director,,DEM/REP,SHARON MARINO,7857,3590,52,11499
Montgomery,Colonial School Director,,DEM/REP,RASHEDA RANDALL,7070,3357,45,10472
Montgomery,Colonial School Director,,DEM/REP,TOMAS SANTIAGO,7220,3311,45,10576
Montgomery,Hatboro-Horsham School Director,,DEM,MADISON PEASE,4899,2607,45,7551
Montgomery,Hatboro-Horsham School Director,,DEM,ASHLEY R PIERSON,4897,2625,43,7565
Montgomery,Hatboro-Horsham School Director,,DEM,JENNIFER WILSON,4961,2655,44,7660
Montgomery,Hatboro-Horsham School Director,,DEM,KATHERINE KAHN,4820,2583,44,7447
Montgomery,Hatboro-Horsham School Director,,DEM,ROBERT JARVIS,4675,2556,45,7276
