county,office,district,party,candidate,votes,election_day,mail,provisional
Dauphin,Mayor - Berrysburg,,DEM,MICHAEL J WARD,69,,,
Dauphin,Mayor - Berrysburg,,NONPARTISAN,WRITE-IN1,3,,,
Dauphin,Council - Berrysburg,,REP,CRAIG PETERS,85,,,
Dauphin,Council - Berrysburg,,REP,MARLIN B WARNER,78,,,
Dauphin,Council - Berrysburg,,REP,RAHN REED,73,,,
Dauphin,Council - Berrysburg,,REP,SCOTT L HARNER,72,,,
Dauphin,Council - Berrysburg,,NONPARTISAN,WRITE-IN1,9,,,
Dauphin,Council - Berrysburg,,NONPARTISAN,WRITE-IN2,7,,,
Dauphin,Council - Berrysburg,,NONPARTISAN,WRITE-IN3,5,,,
Dauphin,Council - Berrysburg,,NONPARTISAN,WRITE-IN4,5,,,
Dauphin,Tax Collector - Berrysburg,,NONPARTISAN,WRITE-IN1,1,,,
Dauphin,Auditor 6 Year Term - Berrysburg,,NONPARTISAN,WRITE-IN1,2,,,
Dauphin,Auditor 4 Year Term - Berrysburg,,NONPARTISAN,WRITE-IN1,1,,,
Dauphin,Auditor 2 Year Term - Berrysburg,,NONPARTISAN,WRITE-IN1,1,,,
Dauphin,Central Dauphin School District,I,DEM/REP,JANELLE BINGAMAN,6008,,,
Dauphin,Central Dauphin School District,I,DEM/REP,MICHELLE HAWES,4801,,,
Dauphin,Central Dauphin School District,I,NONPARTISAN,WRITE-IN1,97,,,
Dauphin,Central Dauphin School District,I,NONPARTISAN,WRITE-IN2,37,,,
Dauphin,Central Dauphin School District,II,DEM/REP,KRISTEN HANFORD,9234,,,
Dauphin,Central Dauphin School District,II,NONPARTISAN,WRITE-IN1,193,,,
Dauphin,Central Dauphin School District,III,DEM/REP,DAVE DOERNEMANN,9433,,,
Dauphin,Central Dauphin School District,III,NONPARTISAN,WRITE-IN1,209,,,
Dauphin,Mayor - Harrisburg,,DEM,WANDA RD WILLIAMS,5145,,,
Dauphin,Mayor - Harrisburg,,REP,DAN MILLER,3873,,,
Dauphin,Mayor - Harrisburg,,NONPARTISAN,WRITE-IN1,94,,,
Dauphin,Council - Harrisburg,,DEM,JOCELYN RAWLS,6817,,,
Dauphin,Council - Harrisburg,,DEM,ROBERT LAWSON,6371,,,
Dauphin,Council - Harrisburg,,DEM,AUSHA N GREEN,5895,,,
Dauphin,Council - Harrisburg,,DEM,RALPH RODRIGUEZ,5974,,,
Dauphin,Council - Harrisburg,,NONPARTISAN,WRITE-IN1,199,,,
Dauphin,Council - Harrisburg,,NONPARTISAN,WRITE-IN2,54,,,
Dauphin,Council - Harrisburg,,NONPARTISAN,WRITE-IN3,34,,,
Dauphin,Council - Harrisburg,,NONPARTISAN,WRITE-IN4,22,,,
Dauphin,City Of Harrisburg,,DEM,KAREN BALABAN,7696,,,
Dauphin,City Of Harrisburg,,NONPARTISAN,WRITE-IN1,124,,,
Dauphin,Clerk of Courts,,DEM,TINA L NIXON,46042,,,
Dauphin,Clerk of Courts,,REP,JOHN MCDONALD,34933,,,
Dauphin,Clerk of Courts,,NONPARTISAN,WRITE-IN1,52,,,
Dauphin,Judge of the Commonwealth Court,,DEM,STELLA TSAI,45984,,,
Dauphin,Judge of the Commonwealth Court,,REP,MATT WOLFORD,35590,,,
Dauphin,Judge of the Commonwealth Court,,NONPARTISAN,WRITE-IN1,46,,,
Dauphin,Judge of the Commonwealth Court,,NONPARTISAN,YES,47302,,,
Dauphin,Judge of the Commonwealth Court,,NONPARTISAN,NO,30059,,,
Dauphin,Supervisor - Conewago,,REP,MICHAEL R LONG,696,,,
Dauphin,Supervisor - Conewago,,NONPARTISAN,WRITE-IN1,26,,,
Dauphin,Tax Collector - Conewago,,NONPARTISAN,WRITE-IN1,34,,,
Dauphin,Auditor 6 Year Term - Conewago,,NONPARTISAN,WRITE-IN1,30,,,
Dauphin,Auditor 4 Year Term - Conewago,,NONPARTISAN,WRITE-IN1,32,,,
Dauphin,Coroner,,DEM,JOHN HARRIS JR,40263,,,
Dauphin,Coroner,,REP,GRAHAM HETRICK,41332,,,
Dauphin,Coroner,,NONPARTISAN,WRITE-IN1,66,,,
Dauphin,Judge of the Court of Common Pleas,,DEM,LA TASHA C WILLIAMS,39384,,,
Dauphin,Judge of the Court of Common Pleas,,DEM,KATY KENNEDY-MCSHANE,40460,,,
Dauphin,Judge of the Court of Common Pleas,,REP,FRAN CHARDO,34819,,,
Dauphin,Judge of the Court of Common Pleas,,REP,JIM ZUGAY,33258,,,
Dauphin,Judge of the Court of Common Pleas,,NONPARTISAN,WRITE-IN1,69,,,
Dauphin,Judge of the Court of Common Pleas,,NONPARTISAN,WRITE-IN2,9,,,
Dauphin,Mayor - Dauphin,,DEM/REP,MIKE MCKENNA,229,,,
Dauphin,Mayor - Dauphin,,NONPARTISAN,WRITE-IN1,2,,,
Dauphin,Council - Dauphin,,DEM,KATHRYN BURTON,161,,,
Dauphin,Council - Dauphin,,REP,BRIAN D CUDDY,169,,,
Dauphin,Council - Dauphin,,REP,GEORGE R BECHTEL,159,,,
Dauphin,Council - Dauphin,,NONPARTISAN,WRITE-IN1,90,,,
Dauphin,Council - Dauphin,,NONPARTISAN,WRITE-IN2,14,,,
Dauphin,Council - Dauphin,,NONPARTISAN,WRITE-IN3,1,,,
Dauphin,Council - Dauphin,,NONPARTISAN,WRITE-IN4,0,,,
Dauphin,Tax Collector - Dauphin,,NONPARTISAN,WRITE-IN1,15,,,
Dauphin,Supervisor 6 Year Term - Derry,,DEM,SANDY BALLARD,4810,,,
Dauphin,Supervisor 6 Year Term - Derry,,DEM,ROB MYERS,4387,,,
Dauphin,Supervisor 6 Year Term - Derry,,REP,NATALIE NUTT,3373,,,
Dauphin,Supervisor 6 Year Term - Derry,,REP,DOMINIC GIOVANNIELLO,3266,,,
Dauphin,Supervisor 6 Year Term - Derry,,NONPARTISAN,WRITE-IN1,6,,,
Dauphin,Supervisor 6 Year Term - Derry,,NONPARTISAN,WRITE-IN2,0,,,
Dauphin,Supervisor 2 Year Term - Derry,,DEM,BRUNO BELLUCCI III,4814,,,
Dauphin,Supervisor 2 Year Term - Derry,,REP,ANDREW AJ SOMMA,3394,,,
Dauphin,Supervisor 2 Year Term - Derry,,NONPARTISAN,WRITE-IN1,6,,,
