county,precinct,office,district,party,candidate,votes,vote_for
Pike,BLOOMING GROVE TWP,Judge of the Superior Court,,DEM,Brandon Neuman,678,1
Pike,BLOOMING GROVE TWP,Judge of the Superior Court,,REP,Maria Battista,717,1
Pike,BLOOMING GROVE TWP,Judge of the Superior Court,,LBR,Daniel Wassmer,15,1
Pike,BLOOMING GROVE TWP,Judge of the Superior Court,,,Write-ins,0,1
Pike,DELAWARE TWP #1,Judge of the Superior Court,,DEM,Brandon Neuman,401,1
Pike,DELAWARE TWP #1,Judge of the Superior Court,,REP,Maria Battista,502,1
Pike,DELAWARE TWP #1,Judge of the Superior Court,,LBR,Daniel Wassmer,18,1
Pike,DELAWARE TWP #1,Judge of the Superior Court,,,Write-ins,0,1
Pike,DELAWARE TWP #2,Judge of the Superior Court,,DEM,Brandon Neuman,364,1
Pike,DELAWARE TWP #2,Judge of the Superior Court,,REP,Maria Battista,490,1
Pike,DELAWARE TWP #2,Judge of the Superior Court,,LBR,Daniel Wassmer,16,1
Pike,DELAWARE TWP #2,Judge of the Superior Court,,,Write-ins,1,1
Pike,DINGMAN TWP #1,Judge of the Superior Court,,DEM,Brandon Neuman,770,1
Pike,DINGMAN TWP #1,Judge of the Superior Court,,REP,Maria Battista,928,1
Pike,DINGMAN TWP #1,Judge of the Superior Court,,LBR,Daniel Wassmer,32,1
Pike,DINGMAN TWP #1,Judge of the Superior Court,,,Write-ins,0,1
Pike,DINGMAN TWP #2,Judge of the Superior Court,,DEM,Brandon Neuman,705,1
Pike,DINGMAN TWP #2,Judge of the Superior Court,,REP,Maria Battista,818,1
Pike,DINGMAN TWP #2,Judge of the Superior Court,,LBR,Daniel Wassmer,27,1
Pike,DINGMAN TWP #2,Judge of the Superior Court,,,Write-ins,1,1
Pike,GREENE TWP,Judge of the Superior Court,,DEM,Brandon Neuman,348,1
Pike,GREENE TWP,Judge of the Superior Court,,REP,Maria Battista,663,1
Pike,GREENE TWP,Judge of the Superior Court,,LBR,Daniel Wassmer,21,1
Pike,GREENE TWP,Judge of the Superior Court,,,Write-ins,1,1
Pike,LACKAWAXEN TWP #1,Judge of the Superior Court,,DEM,Brandon Neuman,296,1
Pike,LACKAWAXEN TWP #1,Judge of the Superior Court,,REP,Maria Battista,443,1
Pike,LACKAWAXEN TWP #1,Judge of the Superior Court,,LBR,Daniel Wassmer,7,1
Pike,LACKAWAXEN TWP #1,Judge of the Superior Court,,,Write-ins,2,1
Pike,LACKAWAXEN TWP #2,Judge of the Superior Court,,DEM,Brandon Neuman,239,1
Pike,LACKAWAXEN TWP #2,Judge of the Superior Court,,REP,Maria Battista,429,1
Pike,LACKAWAXEN TWP #2,Judge of the Superior Court,,LBR,Daniel Wassmer,20,1
Pike,LACKAWAXEN TWP #2,Judge of the Superior Court,,,Write-ins,1,1
Pike,LEHMAN TWP #1,Judge of the Superior Court,,DEM,Brandon Neuman,562,1
Pike,LEHMAN TWP #1,Judge of the Superior Court,,REP,Maria Battista,374,1
Pike,LEHMAN TWP #1,Judge of the Superior Court,,LBR,Daniel Wassmer,18,1
Pike,LEHMAN TWP #1,Judge of the Superior Court,,,Write-ins,2,1
Pike,LEHMAN TWP #2,Judge of the Superior Court,,DEM,Brandon Neuman,727,1
Pike,LEHMAN TWP #2,Judge of the Superior Court,,REP,Maria Battista,361,1
Pike,LEHMAN TWP #2,Judge of the Superior Court,,LBR,Daniel Wassmer,30,1
Pike,LEHMAN TWP #2,Judge of the Superior Court,,,Write-ins,1,1
Pike,MATAMORAS BORO,Judge of the Superior Court,,DEM,Brandon Neuman,282,1
Pike,MATAMORAS BORO,Judge of the Superior Court,,REP,Maria Battista,338,1
Pike,MATAMORAS BORO,Judge of the Superior Court,,LBR,Daniel Wassmer,17,1
Pike,MATAMORAS BORO,Judge of the Superior Court,,,Write-ins,0,1
Pike,MILFORD BORO,Judge of the Superior Court,,DEM,Brandon Neuman,250,1
Pike,MILFORD BORO,Judge of the Superior Court,,REP,Maria Battista,167,1
Pike,MILFORD BORO,Judge of the Superior Court,,LBR,Daniel Wassmer,11,1
Pike,MILFORD BORO,Judge of the Superior Court,,,Write-ins,2,1
Pike,MILFORD TWP,Judge of the Superior Court,,DEM,Brandon Neuman,238,1
Pike,MILFORD TWP,Judge of the Superior Court,,REP,Maria Battista,249,1
Pike,MILFORD TWP,Judge of the Superior Court,,LBR,Daniel Wassmer,8,1
Pike,MILFORD TWP,Judge of the Superior Court,,,Write-ins,0,1
Pike,PALMYRA TWP,Judge of the Superior Court,,DEM,Brandon Neuman,426,1
Pike,PALMYRA TWP,Judge of the Superior Court,,REP,Maria Battista,588,1
Pike,PALMYRA TWP,Judge of the Superior Court,,LBR,Daniel Wassmer,17,1
Pike,PALMYRA TWP,Judge of the Superior Court,,,Write-ins,1,1
Pike,PORTER TWP,Judge of the Superior Court,,DEM,Brandon Neuman,59,1
Pike,PORTER TWP,Judge of the Superior Court,,REP,Maria Battista,90,1
Pike,PORTER TWP,Judge of the Superior Court,,LBR,Daniel Wassmer,5,1
Pike,PORTER TWP,Judge of the Superior Court,,,Write-ins,0,1
Pike,SHOHOLA TWP,Judge of the Superior Court,,DEM,Brandon Neuman,334,1
Pike,SHOHOLA TWP,Judge of the Superior Court,,REP,Maria Battista,468,1
Pike,SHOHOLA TWP,Judge of the Superior Court,,LBR,Daniel Wassmer,13,1
Pike,SHOHOLA TWP,Judge of the Superior Court,,,Write-ins,0,1
Pike,WESTFALL TWP,Judge of the Superior Court,,DEM,Brandon Neuman,400,1
Pike,WESTFALL TWP,Judge of the Superior Court,,REP,Maria Battista,537,1
Pike,WESTFALL TWP,Judge of the Superior Court,,LBR,Daniel Wassmer,19,1
Pike,WESTFALL TWP,Judge of the Superior Court,,,Write-ins,1,1
Pike,BLOOMING GROVE TWP,Judge of the Commonwealth Court,,DEM,Stella Tsai,693,1
Pike,BLOOMING GROVE TWP,Judge of the Commonwealth Court,,REP,Matt Wolford,715,1
Pike,BLOOMING GROVE TWP,Judge of the Commonwealth Court,,,Write-ins,1,1
Pike,DELAWARE TWP #1,Judge of the Commonwealth Court,,DEM,Stella Tsai,412,1
Pike,DELAWARE TWP #1,Judge of the Commonwealth Court,,REP,Matt Wolford,507,1
Pike,DELAWARE TWP #1,Judge of the Commonwealth Court,,,Write-ins,0,1
Pike,DELAWARE TWP #2,Judge of the Commonwealth Court,,DEM,Stella Tsai,378,1
Pike,DELAWARE TWP #2,Judge of the Commonwealth Court,,REP,Matt Wolford,481,1
Pike,DELAWARE TWP #2,Judge of the Commonwealth Court,,,Write-ins,1,1
Pike,DINGMAN TWP #1,Judge of the Commonwealth Court,,DEM,Stella Tsai,782,1
Pike,DINGMAN TWP #1,Judge of the Commonwealth Court,,REP,Matt Wolford,939,1
Pike,DINGMAN TWP #1,Judge of the Commonwealth Court,,,Write-ins,1,1
Pike,DINGMAN TWP #2,Judge of the Commonwealth Court,,DEM,Stella Tsai,724,1
Pike,DINGMAN TWP #2,Judge of the Commonwealth Court,,REP,Matt Wolford,816,1
Pike,DINGMAN TWP #2,Judge of the Commonwealth Court,,,Write-ins,2,1
Pike,GREENE TWP,Judge of the Commonwealth Court,,DEM,Stella Tsai,370,1
Pike,GREENE TWP,Judge of the Commonwealth Court,,REP,Matt Wolford,661,1
Pike,GREENE TWP,Judge of the Commonwealth Court,,,Write-ins,1,1
Pike,LACKAWAXEN TWP #1,Judge of the Commonwealth Court,,DEM,Stella Tsai,303,1
Pike,LACKAWAXEN TWP #1,Judge of the Commonwealth Court,,REP,Matt Wolford,443,1
Pike,LACKAWAXEN TWP #1,Judge of the Commonwealth Court,,,Write-ins,2,1
Pike,LACKAWAXEN TWP #2,Judge of the Commonwealth Court,,DEM,Stella Tsai,257,1
Pike,LACKAWAXEN TWP #2,Judge of the Commonwealth Court,,REP,Matt Wolford,430,1
Pike,LACKAWAXEN TWP #2,Judge of the Commonwealth Court,,,Write-ins,1,1
Pike,LEHMAN TWP #1,Judge of the Commonwealth Court,,DEM,Stella Tsai,573,1
Pike,LEHMAN TWP #1,Judge of the Commonwealth Court,,REP,Matt Wolford,377,1
Pike,LEHMAN TWP #1,Judge of the Commonwealth Court,,,Write-ins,1,1
Pike,LEHMAN TWP #2,Judge of the Commonwealth Court,,DEM,Stella Tsai,763,1
Pike,LEHMAN TWP #2,Judge of the Commonwealth Court,,REP,Matt Wolford,358,1
Pike,LEHMAN TWP #2,Judge of the Commonwealth Court,,,Write-ins,0,1
Pike,MATAMORAS BORO,Judge of the Commonwealth Court,,DEM,Stella Tsai,294,1
Pike,MATAMORAS BORO,Judge of the Commonwealth Court,,REP,Matt Wolford,338,1
Pike,MATAMORAS BORO,Judge of the Commonwealth Court,,,Write-ins,0,1
Pike,MILFORD BORO,Judge of the Commonwealth Court,,DEM,Stella Tsai,260,1
Pike,MILFORD BORO,Judge of the Commonwealth Court,,REP,Matt Wolford,163,1
Pike,MILFORD BORO,Judge of the Commonwealth Court,,,Write-ins,1,1
Pike,MILFORD TWP,Judge of the Commonwealth Court,,DEM,Stella Tsai,247,1
Pike,MILFORD TWP,Judge of the Commonwealth Court,,REP,Matt Wolford,249,1
Pike,MILFORD TWP,Judge of the Commonwealth Court,,,Write-ins,0,1
Pike,PALMYRA TWP,Judge of the Commonwealth Court,,DEM,Stella Tsai,443,1
Pike,PALMYRA TWP,Judge of the Commonwealth Court,,REP,Matt Wolford,582,1
Pike,PALMYRA TWP,Judge of the Commonwealth Court,,,Write-ins,1,1
Pike,PORTER TWP,Judge of the Commonwealth Court,,DEM,Stella Tsai,65,1
Pike,PORTER TWP,Judge of the Commonwealth Court,,REP,Matt Wolford,88,1
Pike,PORTER TWP,Judge of the Commonwealth Court,,,Write-ins,0,1
Pike,SHOHOLA TWP,Judge of the Commonwealth Court,,DEM,Stella Tsai,346,1
Pike,SHOHOLA TWP,Judge of the Commonwealth Court,,REP,Matt Wolford,467,1
Pike,SHOHOLA TWP,Judge of the Commonwealth Court,,,Write-ins,0,1
Pike,WESTFALL TWP,Judge of the Commonwealth Court,,DEM,Stella Tsai,403,1
Pike,WESTFALL TWP,Judge of the Commonwealth Court,,REP,Matt Wolford,550,1
Pike,WESTFALL TWP,Judge of the Commonwealth Court,,,Write-ins,1,1
Pike,BLOOMING GROVE TWP,Sheriff,,D/R,Brian M. Vennie,1222,1
Pike,BLOOMING GROVE TWP,Sheriff,,,Write-ins,11,1
Pike,DELAWARE TWP #1,Sheriff,,D/R,Brian M. Vennie,741,1
Pike,DELAWARE TWP #1,Sheriff,,,Write-ins,8,1
Pike,DELAWARE TWP #2,Sheriff,,D/R,Brian M. Vennie,700,1
Pike,DELAWARE TWP #2,Sheriff,,,Write-ins,7,1
Pike,DINGMAN TWP #1,Sheriff,,D/R,Brian M. Vennie,1298,1
Pike,DINGMAN TWP #1,Sheriff,,,Write-ins,20,1
Pike,DINGMAN TWP #2,Sheriff,,D/R,Brian M. Vennie,1249,1
Pike,DINGMAN TWP #2,Sheriff,,,Write-ins,28,1
Pike,GREENE TWP,Sheriff,,D/R,Brian M. Vennie,885,1
Pike,GREENE TWP,Sheriff,,,Write-ins,9,1
Pike,LACKAWAXEN TWP #1,Sheriff,,D/R,Brian M. Vennie,620,1
Pike,LACKAWAXEN TWP #1,Sheriff,,,Write-ins,6,1
Pike,LACKAWAXEN TWP #2,Sheriff,,D/R,Brian M. Vennie,574,1
Pike,LACKAWAXEN TWP #2,Sheriff,,,Write-ins,7,1
Pike,LEHMAN TWP #1,Sheriff,,D/R,Brian M. Vennie,803,1
