county,precinct,office,district,party,candidate,votes,mail,election_day,provisional
Fulton,Ayr Township,,,,Registered Voters,1414,,,
Fulton,Ayr Township,,,,Ballots Cast,486,,,
Fulton,Ayr Township,Judge of the Superior Court,,DEM,BRANDON NEUMAN,95,30,65,0
Fulton,Ayr Township,Judge of the Superior Court,,REP,MARIA BATTISTA,355,33,322,0
Fulton,Ayr Township,Judge of the Superior Court,,LBR,DANIEL WASSMER,9,4,5,0
Fulton,Ayr Township,Judge of the Commonwealth Court,,DEM,STELLA TSAI,93,31,62,0
Fulton,Ayr Township,Judge of the Commonwealth Court,,REP,MATT WOLFORD,368,35,333,0
Fulton,Ayr Township,Prothonotary,,REP,STEPHANIE SHERMAN,422,49,373,0
Fulton,Ayr Township,Central Fulton School District School Director Four Year Term,,DEM/REP,JASON C CARBAUGH,299,48,251,0
Fulton,Ayr Township,Central Fulton School District School Director Four Year Term,,DEM/REP,CRYSTAL D GLENN,284,47,237,0
Fulton,Ayr Township,Central Fulton School District School Director Four Year Term,,DEM/REP,JASON M SHARPE,282,46,236,0
Fulton,Ayr Township,Central Fulton School District School Director Four Year Term,,DEM/REP,TONYA DENISE WIBLE,263,49,214,0
Fulton,Ayr Township,Central Fulton School District School Director Two Year Term,,IND,GREGORY ALLAN HORNBAKER,331,49,282,0
Fulton,Ayr Township,Ayr Township Supervisor Six Year Term,,REP,THURMAN E NESBITT III,432,52,380,0
Fulton,Ayr Township,Ayr Township Auditor Six Year Term,,REP,AMBER SOUDERS,427,47,380,0
Fulton,Ayr Township,Ayr Township Auditor Four Year Term,,REP,DIANE K CLEVER,434,51,383,0
Fulton,Ayr Township,Ayr Township Tax Collector Four Year Term,,REP,MICHELLE R SOWERS,433,51,382,0
Fulton,Ayr Township,Ayr Township Judge Of Elections Four Year Term,,REP,CARMEN M NESBITT,434,49,385,0
Fulton,Ayr Township,Supreme Court Retention Election Question,,,YES,139,38,101,0
Fulton,Ayr Township,Supreme Court Retention Election Question,,,NO,320,30,290,0
Fulton,Ayr Township,Supreme Court Retention Election Question,,,YES,136,36,100,0
Fulton,Ayr Township,Supreme Court Retention Election Question,,,NO,323,32,291,0
Fulton,Ayr Township,Supreme Court Retention Election Question,,,YES,135,36,99,0
Fulton,Ayr Township,Supreme Court Retention Election Question,,,NO,322,32,290,0
Fulton,Ayr Township,Superior Court Retention Election Question,,,YES,147,40,107,0
Fulton,Ayr Township,Superior Court Retention Election Question,,,NO,303,25,278,0
Fulton,Ayr Township,Commonwealth Court Retention Election Question,,,YES,161,37,124,0
Fulton,Ayr Township,Commonwealth Court Retention Election Question,,,NO,285,25,260,0
Fulton,Ayr Township,Court of Common Pleas Retention Election Question,,,YES,261,42,219,0
Fulton,Ayr Township,Court of Common Pleas Retention Election Question,,,NO,194,23,171,0
Fulton,Belfast Township,,,,Registered Voters,976,,,
Fulton,Belfast Township,,,,Ballots Cast,266,,,
Fulton,Belfast Township,Judge of the Superior Court,,DEM,BRANDON NEUMAN,30,0,30,0
Fulton,Belfast Township,Judge of the Superior Court,,REP,MARIA BATTISTA,230,0,230,0
Fulton,Belfast Township,Judge of the Superior Court,,LBR,DANIEL WASSMER,2,0,2,0
Fulton,Belfast Township,Judge of the Commonwealth Court,,DEM,STELLA TSAI,28,0,28,0
Fulton,Belfast Township,Judge of the Commonwealth Court,,REP,MATT WOLFORD,233,0,233,0
Fulton,Belfast Township,Prothonotary,,REP,STEPHANIE SHERMAN,248,0,248,0
Fulton,Belfast Township,Southern Fulton School District School Director Four Year Term,,DEM/REP,PATRICK L BARD,151,0,151,0
Fulton,Belfast Township,Southern Fulton School District School Director Four Year Term,,DEM/REP,JADA HOOPENGARDNER SMITH,134,0,134,0
Fulton,Belfast Township,Southern Fulton School District School Director Four Year Term,,DEM/REP,ANTHONY C SHIVES,132,0,132,0
Fulton,Belfast Township,Southern Fulton School District School Director Four Year Term,,DEM/REP,MARK R MOSEMANN,159,0,159,0
Fulton,Belfast Township,Southern Fulton School District School Director Four Year Term,,REP,DANIEL E PELTON,208,0,208,0
Fulton,Belfast Township,Southern Fulton School District School Director Two Year Term,,DEM/REP,JEFF HULL,199,0,199,0
Fulton,Belfast Township,Belfast Township Supervisor Six Year Term,,REP,THOMAS K MORTON,241,0,241,0
Fulton,Belfast Township,Belfast Township Tax Collector Four Year Term,,REP,G JEAN MORTON,255,0,255,0
Fulton,Belfast Township,Belfast Township Judge Of Elections Four Year Term,,REP,VIVIAN KAY BERNHARD,243,0,243,0
Fulton,Belfast Township,Belfast Township Inspector Of Elections Four Year Term,,REP,KELLY S MILLER,252,0,252,0
Fulton,Belfast Township,Supreme Court Retention Election Question,,,YES,56,0,56,0
Fulton,Belfast Township,Supreme Court Retention Election Question,,,NO,203,0,203,0
Fulton,Belfast Township,Supreme Court Retention Election Question,,,YES,52,0,52,0
Fulton,Belfast Township,Supreme Court Retention Election Question,,,NO,207,0,207,0
Fulton,Belfast Township,Supreme Court Retention Election Question,,,YES,54,0,54,0
Fulton,Belfast Township,Supreme Court Retention Election Question,,,NO,206,0,206,0
Fulton,Belfast Township,Superior Court Retention Election Question,,,YES,62,0,62,0
Fulton,Belfast Township,Superior Court Retention Election Question,,,NO,196,0,196,0
Fulton,Belfast Township,Commonwealth Court Retention Election Question,,,YES,70,0,70,0
Fulton,Belfast Township,Commonwealth Court Retention Election Question,,,NO,186,0,186,0
Fulton,Belfast Township,Court of Common Pleas Retention Election Question,,,YES,140,0,140,0
Fulton,Belfast Township,Court of Common Pleas Retention Election Question,,,NO,114,0,114,0
Fulton,Bethel Township,,,,Registered Voters,1067,,,
Fulton,Bethel Township,,,,Ballots Cast,297,,,
Fulton,Bethel Township,Judge of the Superior Court,,DEM,BRANDON NEUMAN,55,21,34,0
Fulton,Bethel Township,Judge of the Superior Court,,REP,MARIA BATTISTA,228,14,214,0
Fulton,Bethel Township,Judge of the Superior Court,,LBR,DANIEL WASSMER,2,1,1,0
Fulton,Bethel Township,Judge of the Commonwealth Court,,DEM,STELLA TSAI,57,22,35,0
Fulton,Bethel Township,Judge of the Commonwealth Court,,REP,MATT WOLFORD,230,14,216,0
Fulton,Bethel Township,Prothonotary,,REP,STEPHANIE SHERMAN,241,23,218,0
Fulton,Bethel Township,Southern Fulton School District School Director Four Year Term,,DEM/REP,PATRICK L BARD,150,19,131,0
Fulton,Bethel Township,Southern Fulton School District School Director Four Year Term,,DEM/REP,JADA HOOPENGARDNER SMITH,150,24,126,0
Fulton,Bethel Township,Southern Fulton School District School Director Four Year Term,,DEM/REP,ANTHONY C SHIVES,133,20,113,0
Fulton,Bethel Township,Southern Fulton School District School Director Four Year Term,,DEM/REP,MARK R MOSEMANN,161,22,139,0
Fulton,Bethel Township,Southern Fulton School District School Director Four Year Term,,REP,DANIEL E PELTON,204,18,186,0
Fulton,Bethel Township,Southern Fulton School District School Director Two Year Term,,DEM/REP,JEFF HULL,194,26,168,0
Fulton,Bethel Township,Bethel Township Supervisor Six Year Term,,REP,CLARENCE O WEICHT III,226,21,205,0
Fulton,Bethel Township,Bethel Township Auditor Six Year Term,,DEM,ANGELA BOOTH,161,31,130,0
Fulton,Bethel Township,Bethel Township Tax Collector Four Year Term,,REP,KATERINA E WEICHT,251,27,224,0
Fulton,Bethel Township,Supreme Court Retention Election Question,,,YES,80,23,57,0
Fulton,Bethel Township,Supreme Court Retention Election Question,,,NO,198,13,185,0
Fulton,Bethel Township,Supreme Court Retention Election Question,,,YES,78,23,55,0
Fulton,Bethel Township,Supreme Court Retention Election Question,,,NO,196,13,183,0
Fulton,Bethel Township,Supreme Court Retention Election Question,,,YES,82,23,59,0
Fulton,Bethel Township,Supreme Court Retention Election Question,,,NO,191,13,178,0
Fulton,Bethel Township,Superior Court Retention Election Question,,,YES,77,20,57,0
Fulton,Bethel Township,Superior Court Retention Election Question,,,NO,182,12,170,0
Fulton,Bethel Township,Commonwealth Court Retention Election Question,,,YES,83,19,64,0
Fulton,Bethel Township,Commonwealth Court Retention Election Question,,,NO,178,13,165,0
Fulton,Bethel Township,Court of Common Pleas Retention Election Question,,,YES,139,21,118,0
Fulton,Bethel Township,Court of Common Pleas Retention Election Question,,,NO,116,10,106,0
Fulton,Brush Creek Township,,,,Registered Voters,540,,,
Fulton,Brush Creek Township,,,,Ballots Cast,198,,,
Fulton,Brush Creek Township,Judge of the Superior Court,,DEM,BRANDON NEUMAN,34,9,25,0
Fulton,Brush Creek Township,Judge of the Superior Court,,REP,MARIA BATTISTA,151,15,136,0
Fulton,Brush Creek Township,Judge of the Superior Court,,LBR,DANIEL WASSMER,5,1,4,0
Fulton,Brush Creek Township,Judge of the Commonwealth Court,,DEM,STELLA TSAI,29,8,21,0
Fulton,Brush Creek Township,Judge of the Commonwealth Court,,REP,MATT WOLFORD,160,16,144,0
Fulton,Brush Creek Township,Prothonotary,,REP,STEPHANIE SHERMAN,171,19,152,0
Fulton,Brush Creek Township,Southern Fulton School District School Director Four Year Term,,DEM/REP,PATRICK L BARD,113,16,97,0
Fulton,Brush Creek Township,Southern Fulton School District School Director Four Year Term,,DEM/REP,JADA HOOPENGARDNER SMITH,100,11,89,0
Fulton,Brush Creek Township,Southern Fulton School District School Director Four Year Term,,DEM/REP,ANTHONY C SHIVES,90,11,79,0
Fulton,Brush Creek Township,Southern Fulton School District School Director Four Year Term,,DEM/REP,MARK R MOSEMANN,101,12,89,0
Fulton,Brush Creek Township,Southern Fulton School District School Director Four Year Term,,REP,DANIEL E PELTON,147,17,130,0
Fulton,Brush Creek Township,Southern Fulton School District School Director Two Year Term,,DEM/REP,JEFF HULL,142,23,119,0
Fulton,Brush Creek Township,Brush Creek Township Supervisor Six Year Term,,DEM/REP,DAVID MICHAEL WHITESIDE,170,22,148,0
Fulton,Brush Creek Township,Brush Creek Township Auditor Six Year Term,,REP,STEPHEN D DENEEN,178,18,160,0
Fulton,Brush Creek Township,Brush Creek Township Tax Collector Four Year Term,,REP,MARY WILDENA TRUAX,185,21,164,0
Fulton,Brush Creek Township,Brush Creek Township Judge Of Elections Four Year Term,,REP,MAXINE P BARTON,186,20,166,0
