county,precinct,office,district,party,candidate,votes,election_day,mail,provisional,vote_for
Franklin,Antrim 1,Registered Voters,,,,2061,,,,
Franklin,Antrim 1,Ballots Cast,,,,658,528,128,2,
Franklin,Antrim 1,Ballots Cast Blank,,,,1,1,0,0,
Franklin,Antrim 1,Judge of the Superior Court,,DEM,Brandon Neuman,175,95,80,0,1
Franklin,Antrim 1,Judge of the Superior Court,,REP,Maria Battista,470,423,45,2,1
Franklin,Antrim 1,Judge of the Superior Court,,LBR,Daniel Wassmer,6,4,2,0,1
Franklin,Antrim 1,Judge of the Superior Court,,,Write-ins,0,0,0,0,1
Franklin,Antrim 1,Judge of the Commonwealth Court,,DEM,Stella Tsai,176,94,82,0,1
Franklin,Antrim 1,Judge of the Commonwealth Court,,REP,Matt Wolford,478,431,45,2,1
Franklin,Antrim 1,Judge of the Commonwealth Court,,,Write-ins,1,1,0,0,1
Franklin,Antrim 1,Treasurer,,REP,Lisa Kauffman Helm,541,466,74,1,1
Franklin,Antrim 1,Treasurer,,,Write-ins,20,13,7,0,1
Franklin,Antrim 1,School Director (4 Year),Greencastle-Antrim,REP,Doug Shatzer,477,414,62,1,4
Franklin,Antrim 1,School Director (4 Year),Greencastle-Antrim,REP,Janon R. Gray,378,328,49,1,4
Franklin,Antrim 1,School Director (4 Year),Greencastle-Antrim,REP,Eileen Dickinson,400,345,54,1,4
Franklin,Antrim 1,School Director (4 Year),Greencastle-Antrim,REP,Rich Davis,389,338,50,1,4
Franklin,Antrim 1,School Director (4 Year),Greencastle-Antrim,,Write-ins,34,24,10,0,4
Franklin,Antrim 1,School Director (2 Year),Greencastle-Antrim,REP,Shannon S. Dunkle,458,399,58,1,2
Franklin,Antrim 1,School Director (2 Year),Greencastle-Antrim,REP,Amber L. Rephann,407,350,56,1,2
Franklin,Antrim 1,School Director (2 Year),Greencastle-Antrim,,Write-ins,13,6,7,0,2
Franklin,Antrim 1,Township Auditor,Antrim,,Write-ins,29,21,8,0,1
Franklin,Antrim 1,Township Supervisor,Antrim,REP,Jaysen Cochran,527,451,75,1,1
Franklin,Antrim 1,Township Supervisor,Antrim,,Write-ins,15,8,7,0,1
Franklin,Antrim 1,Tax Collector,Antrim,REP,Ashley Shaffer,541,462,78,1,1
Franklin,Antrim 1,Tax Collector,Antrim,,Write-ins,16,10,6,0,1
Franklin,Antrim 1,Judge of Elections,,,Write-ins,34,23,11,0,1
Franklin,Antrim 1,Inspector of Elections,,,Write-ins,37,29,8,0,1
Franklin,Antrim 1,Supreme Court Retention - Christine Donohue,,,Yes,202,123,79,0,1
Franklin,Antrim 1,Supreme Court Retention - Christine Donohue,,,No,440,393,45,2,1
Franklin,Antrim 1,Supreme Court Retention - Kevin M Dougherty,,,Yes,208,128,80,0,1
Franklin,Antrim 1,Supreme Court Retention - Kevin M Dougherty,,,No,434,388,44,2,1
Franklin,Antrim 1,Supreme Court Retention - David Wecht,,,Yes,209,129,80,0,1
Franklin,Antrim 1,Supreme Court Retention - David Wecht,,,No,431,385,44,2,1
Franklin,Antrim 1,Superior Court Retention - Alice Beck Dubow,,,Yes,219,149,70,0,1
Franklin,Antrim 1,Superior Court Retention - Alice Beck Dubow,,,No,401,350,49,2,1
Franklin,Antrim 1,Commonwealth Court Retention - Michael H Wojcik,,,Yes,221,151,69,1,1
Franklin,Antrim 1,Commonwealth Court Retention - Michael H Wojcik,,,No,394,344,49,1,1
Franklin,Antrim 1,Court of Common Pleas Retention - Todd M Sponseller,,,Yes,302,229,73,0,1
Franklin,Antrim 1,Court of Common Pleas Retention - Todd M Sponseller,,,No,312,269,42,1,1
Franklin,Antrim 2,Registered Voters,,,,1265,,,,
Franklin,Antrim 2,Ballots Cast,,,,531,460,70,1,
Franklin,Antrim 2,Ballots Cast Blank,,,,0,0,0,0,
Franklin,Antrim 2,Judge of the Superior Court,,DEM,Brandon Neuman,100,68,31,1,1
Franklin,Antrim 2,Judge of the Superior Court,,REP,Maria Battista,423,384,39,0,1
Franklin,Antrim 2,Judge of the Superior Court,,LBR,Daniel Wassmer,5,5,0,0,1
Franklin,Antrim 2,Judge of the Superior Court,,,Write-ins,0,0,0,0,1
Franklin,Antrim 2,Judge of the Commonwealth Court,,DEM,Stella Tsai,99,67,31,1,1
Franklin,Antrim 2,Judge of the Commonwealth Court,,REP,Matt Wolford,428,389,39,0,1
Franklin,Antrim 2,Judge of the Commonwealth Court,,,Write-ins,0,0,0,0,1
Franklin,Antrim 2,Treasurer,,REP,Lisa Kauffman Helm,458,412,45,1,1
Franklin,Antrim 2,Treasurer,,,Write-ins,4,3,1,0,1
Franklin,Antrim 2,School Director (4 Year),Greencastle-Antrim,REP,Doug Shatzer,408,367,41,0,4
Franklin,Antrim 2,School Director (4 Year),Greencastle-Antrim,REP,Janon R. Gray,371,330,41,0,4
Franklin,Antrim 2,School Director (4 Year),Greencastle-Antrim,REP,Eileen Dickinson,383,340,43,0,4
Franklin,Antrim 2,School Director (4 Year),Greencastle-Antrim,REP,Rich Davis,368,326,41,1,4
Franklin,Antrim 2,School Director (4 Year),Greencastle-Antrim,,Write-ins,5,2,3,0,4
Franklin,Antrim 2,School Director (2 Year),Greencastle-Antrim,REP,Shannon S. Dunkle,400,361,39,0,2
Franklin,Antrim 2,School Director (2 Year),Greencastle-Antrim,REP,Amber L. Rephann,371,330,40,1,2
Franklin,Antrim 2,School Director (2 Year),Greencastle-Antrim,,Write-ins,5,2,3,0,2
Franklin,Antrim 2,Township Auditor,Antrim,,Write-ins,17,12,4,1,1
Franklin,Antrim 2,Township Supervisor,Antrim,REP,Jaysen Cochran,442,399,42,1,1
Franklin,Antrim 2,Township Supervisor,Antrim,,Write-ins,5,3,2,0,1
Franklin,Antrim 2,Tax Collector,Antrim,REP,Ashley Shaffer,453,405,47,1,1
Franklin,Antrim 2,Tax Collector,Antrim,,Write-ins,6,5,1,0,1
Franklin,Antrim 2,Judge of Elections,,REP,Jaysen Cochran,445,402,42,1,1
Franklin,Antrim 2,Judge of Elections,,,Write-ins,2,1,1,0,1
Franklin,Antrim 2,Inspector of Elections,,REP,Darrell Kim Miller,458,414,43,1,1
Franklin,Antrim 2,Inspector of Elections,,,Write-ins,4,1,3,0,1
Franklin,Antrim 2,Supreme Court Retention - Christine Donohue,,,Yes,119,87,32,0,1
Franklin,Antrim 2,Supreme Court Retention - Christine Donohue,,,No,405,369,35,1,1
Franklin,Antrim 2,Supreme Court Retention - Kevin M Dougherty,,,Yes,127,94,32,1,1
Franklin,Antrim 2,Supreme Court Retention - Kevin M Dougherty,,,No,395,360,35,0,1
Franklin,Antrim 2,Supreme Court Retention - David Wecht,,,Yes,123,91,31,1,1
Franklin,Antrim 2,Supreme Court Retention - David Wecht,,,No,398,363,35,0,1
Franklin,Antrim 2,Superior Court Retention - Alice Beck Dubow,,,Yes,160,123,36,1,1
Franklin,Antrim 2,Superior Court Retention - Alice Beck Dubow,,,No,346,316,30,0,1
Franklin,Antrim 2,Commonwealth Court Retention - Michael H Wojcik,,,Yes,166,129,37,0,1
Franklin,Antrim 2,Commonwealth Court Retention - Michael H Wojcik,,,No,341,311,29,1,1
Franklin,Antrim 2,Court of Common Pleas Retention - Todd M Sponseller,,,Yes,254,213,41,0,1
Franklin,Antrim 2,Court of Common Pleas Retention - Todd M Sponseller,,,No,248,224,23,1,1
Franklin,Antrim 3,Registered Voters,,,,1480,,,,
Franklin,Antrim 3,Ballots Cast,,,,552,485,67,0,
Franklin,Antrim 3,Ballots Cast Blank,,,,0,0,0,0,
Franklin,Antrim 3,Judge of the Superior Court,,DEM,Brandon Neuman,115,70,45,0,1
Franklin,Antrim 3,Judge of the Superior Court,,REP,Maria Battista,426,406,20,0,1
Franklin,Antrim 3,Judge of the Superior Court,,LBR,Daniel Wassmer,6,5,1,0,1
Franklin,Antrim 3,Judge of the Superior Court,,,Write-ins,0,0,0,0,1
Franklin,Antrim 3,Judge of the Commonwealth Court,,DEM,Stella Tsai,114,69,45,0,1
Franklin,Antrim 3,Judge of the Commonwealth Court,,REP,Matt Wolford,435,413,22,0,1
Franklin,Antrim 3,Judge of the Commonwealth Court,,,Write-ins,0,0,0,0,1
Franklin,Antrim 3,Treasurer,,REP,Lisa Kauffman Helm,472,439,33,0,1
Franklin,Antrim 3,Treasurer,,,Write-ins,4,4,0,0,1
Franklin,Antrim 3,School Director (4 Year),Greencastle-Antrim,REP,Doug Shatzer,417,386,31,0,4
Franklin,Antrim 3,School Director (4 Year),Greencastle-Antrim,REP,Janon R. Gray,376,349,27,0,4
Franklin,Antrim 3,School Director (4 Year),Greencastle-Antrim,REP,Eileen Dickinson,384,356,28,0,4
Franklin,Antrim 3,School Director (4 Year),Greencastle-Antrim,REP,Rich Davis,376,348,28,0,4
Franklin,Antrim 3,School Director (4 Year),Greencastle-Antrim,,Write-ins,12,12,0,0,4
Franklin,Antrim 3,School Director (2 Year),Greencastle-Antrim,REP,Shannon S. Dunkle,407,376,31,0,2
Franklin,Antrim 3,School Director (2 Year),Greencastle-Antrim,REP,Amber L. Rephann,372,341,31,0,2
Franklin,Antrim 3,School Director (2 Year),Greencastle-Antrim,,Write-ins,5,5,0,0,2
Franklin,Antrim 3,Township Auditor,Antrim,,Write-ins,25,22,3,0,1
Franklin,Antrim 3,Township Supervisor,Antrim,REP,Jaysen Cochran,455,421,34,0,1
Franklin,Antrim 3,Township Supervisor,Antrim,,Write-ins,9,9,0,0,1
Franklin,Antrim 3,Tax Collector,Antrim,REP,Ashley Shaffer,464,430,34,0,1
Franklin,Antrim 3,Tax Collector,Antrim,,Write-ins,9,9,0,0,1
Franklin,Antrim 3,Judge of Elections,,,Write-ins,22,19,3,0,1
Franklin,Antrim 3,Inspector of Elections,,,Write-ins,18,16,2,0,1
Franklin,Antrim 3,Supreme Court Retention - Christine Donohue,,,Yes,135,91,44,0,1
Franklin,Antrim 3,Supreme Court Retention - Christine Donohue,,,No,391,371,20,0,1
Franklin,Antrim 3,Supreme Court Retention - Kevin M Dougherty,,,Yes,138,94,44,0,1
Franklin,Antrim 3,Supreme Court Retention - Kevin M Dougherty,,,No,388,368,20,0,1
Franklin,Antrim 3,Supreme Court Retention - David Wecht,,,Yes,138,94,44,0,1
Franklin,Antrim 3,Supreme Court Retention - David Wecht,,,No,386,366,20,0,1
Franklin,Antrim 3,Superior Court Retention - Alice Beck Dubow,,,Yes,159,118,41,0,1
Franklin,Antrim 3,Superior Court Retention - Alice Beck Dubow,,,No,356,335,21,0,1
Franklin,Antrim 3,Commonwealth Court Retention - Michael H Wojcik,,,Yes,172,129,43,0,1
Franklin,Antrim 3,Commonwealth Court Retention - Michael H Wojcik,,,No,344,324,20,0,1
Franklin,Antrim 3,Court of Common Pleas Retention - Todd M Sponseller,,,Yes,244,200,44,0,1
Franklin,Antrim 3,Court of Common Pleas Retention - Todd M Sponseller,,,No,270,253,17,0,1
Franklin,Antrim 4,Registered Voters,,,,2394,,,,
Franklin,Antrim 4,Ballots Cast,,,,681,585,96,0,
Franklin,Antrim 4,Ballots Cast Blank,,,,0,0,0,0,
Franklin,Antrim 4,Judge of the Superior Court,,DEM,Brandon Neuman,165,119,46,0,1
Franklin,Antrim 4,Judge of the Superior Court,,REP,Maria Battista,504,455,49,0,1
Franklin,Antrim 4,Judge of the Superior Court,,LBR,Daniel Wassmer,8,7,1,0,1
Franklin,Antrim 4,Judge of the Superior Court,,,Write-ins,2,2,0,0,1
Franklin,Antrim 4,Judge of the Commonwealth Court,,DEM,Stella Tsai,174,127,47,0,1
Franklin,Antrim 4,Judge of the Commonwealth Court,,REP,Matt Wolford,504,455,49,0,1
Franklin,Antrim 4,Judge of the Commonwealth Court,,,Write-ins,1,1,0,0,1
Franklin,Antrim 4,Treasurer,,REP,Lisa Kauffman Helm,565,502,63,0,1
Franklin,Antrim 4,Treasurer,,,Write-ins,15,13,2,0,1
Franklin,Antrim 4,School Director (4 Year),Greencastle-Antrim,REP,Doug Shatzer,506,451,55,0,4
Franklin,Antrim 4,School Director (4 Year),Greencastle-Antrim,REP,Janon R. Gray,438,387,51,0,4
Franklin,Antrim 4,School Director (4 Year),Greencastle-Antrim,REP,Eileen Dickinson,457,400,57,0,4
Franklin,Antrim 4,School Director (4 Year),Greencastle-Antrim,REP,Rich Davis,437,385,52,0,4
Franklin,Antrim 4,School Director (4 Year),Greencastle-Antrim,,Write-ins,34,29,5,0,4
Franklin,Antrim 4,School Director (2 Year),Greencastle-Antrim,REP,Shannon S. Dunkle,495,438,57,0,2
Franklin,Antrim 4,School Director (2 Year),Greencastle-Antrim,REP,Amber L. Rephann,443,390,53,0,2
Franklin,Antrim 4,School Director (2 Year),Greencastle-Antrim,,Write-ins,19,16,3,0,2
Franklin,Antrim 4,Township Auditor,Antrim,,Write-ins,34,31,3,0,1
Franklin,Antrim 4,Township Supervisor,Antrim,REP,Jaysen Cochran,559,495,64,0,1
Franklin,Antrim 4,Township Supervisor,Antrim,,Write-ins,15,13,2,0,1
Franklin,Antrim 4,Tax Collector,Antrim,REP,Ashley Shaffer,570,503,67,0,1
Franklin,Antrim 4,Tax Collector,Antrim,,Write-ins,18,15,3,0,1
Franklin,Antrim 4,Judge of Elections,,REP,Denise Timmons,565,501,64,0,1
Franklin,Antrim 4,Judge of Elections,,,Write-ins,16,11,5,0,1
Franklin,Antrim 4,Inspector of Elections,,,Write-ins,55,48,7,0,1
Franklin,Antrim 4,Supreme Court Retention - Christine Donohue,,,Yes,206,150,56,0,1
Franklin,Antrim 4,Supreme Court Retention - Christine Donohue,,,No,456,424,32,0,1
Franklin,Antrim 4,Supreme Court Retention - Kevin M Dougherty,,,Yes,206,151,55,0,1
Franklin,Antrim 4,Supreme Court Retention - Kevin M Dougherty,,,No,455,422,33,0,1
Franklin,Antrim 4,Supreme Court Retention - David Wecht,,,Yes,199,145,54,0,1
Franklin,Antrim 4,Supreme Court Retention - David Wecht,,,No,460,427,33,0,1
Franklin,Antrim 4,Superior Court Retention - Alice Beck Dubow,,,Yes,227,175,52,0,1
Franklin,Antrim 4,Superior Court Retention - Alice Beck Dubow,,,No,419,387,32,0,1
Franklin,Antrim 4,Commonwealth Court Retention - Michael H Wojcik,,,Yes,239,187,52,0,1
Franklin,Antrim 4,Commonwealth Court Retention - Michael H Wojcik,,,No,410,378,32,0,1
Franklin,Antrim 4,Court of Common Pleas Retention - Todd M Sponseller,,,Yes,375,317,58,0,1
Franklin,Antrim 4,Court of Common Pleas Retention - Todd M Sponseller,,,No,271,245,26,0,1
Franklin,Antrim 5,Registered Voters,,,,3773,,,,
Franklin,Antrim 5,Ballots Cast,,,,1184,941,241,2,
Franklin,Antrim 5,Ballots Cast Blank,,,,1,0,1,0,
Franklin,Antrim 5,Judge of the Superior Court,,DEM,Brandon Neuman,310,190,118,2,1
Franklin,Antrim 5,Judge of the Superior Court,,REP,Maria Battista,850,736,114,0,1
Franklin,Antrim 5,Judge of the Superior Court,,LBR,Daniel Wassmer,16,12,4,0,1
Franklin,Antrim 5,Judge of the Superior Court,,,Write-ins,1,0,1,0,1
Franklin,Antrim 5,Judge of the Commonwealth Court,,DEM,Stella Tsai,311,191,118,2,1
Franklin,Antrim 5,Judge of the Commonwealth Court,,REP,Matt Wolford,865,747,118,0,1
Franklin,Antrim 5,Judge of the Commonwealth Court,,,Write-ins,2,0,2,0,1
Franklin,Antrim 5,Treasurer,,REP,Lisa Kauffman Helm,962,809,153,0,1
Franklin,Antrim 5,Treasurer,,,Write-ins,18,15,3,0,1
Franklin,Antrim 5,School Director (4 Year),Greencastle-Antrim,REP,Doug Shatzer,853,711,142,0,4
Franklin,Antrim 5,School Director (4 Year),Greencastle-Antrim,REP,Janon R. Gray,774,644,130,0,4
Franklin,Antrim 5,School Director (4 Year),Greencastle-Antrim,REP,Eileen Dickinson,777,642,135,0,4
Franklin,Antrim 5,School Director (4 Year),Greencastle-Antrim,REP,Rich Davis,740,617,123,0,4
Franklin,Antrim 5,School Director (4 Year),Greencastle-Antrim,,Write-ins,62,53,9,0,4
Franklin,Antrim 5,School Director (2 Year),Greencastle-Antrim,REP,Shannon S. Dunkle,814,685,129,0,2
Franklin,Antrim 5,School Director (2 Year),Greencastle-Antrim,REP,Amber L. Rephann,759,627,132,0,2
Franklin,Antrim 5,School Director (2 Year),Greencastle-Antrim,,Write-ins,25,20,5,0,2
Franklin,Antrim 5,Township Auditor,Antrim,,Write-ins,80,72,8,0,1
Franklin,Antrim 5,Township Supervisor,Antrim,REP,Jaysen Cochran,935,788,147,0,1
Franklin,Antrim 5,Township Supervisor,Antrim,,Write-ins,22,19,3,0,1
Franklin,Antrim 5,Tax Collector,Antrim,REP,Ashley Shaffer,960,806,154,0,1
Franklin,Antrim 5,Tax Collector,Antrim,,Write-ins,19,14,5,0,1
Franklin,Antrim 5,Judge of Elections,,REP,Michelle L. Beaver,941,792,149,0,1
Franklin,Antrim 5,Judge of Elections,,,Write-ins,18,11,7,0,1
Franklin,Antrim 5,Inspector of Elections,,REP,Stephanie Lockbaum,944,796,148,0,1
Franklin,Antrim 5,Inspector of Elections,,,Write-ins,16,12,4,0,1
Franklin,Antrim 5,Supreme Court Retention - Christine Donohue,,,Yes,375,232,141,2,1
Franklin,Antrim 5,Supreme Court Retention - Christine Donohue,,,No,783,689,94,0,1
Franklin,Antrim 5,Supreme Court Retention - Kevin M Dougherty,,,Yes,373,233,138,2,1
Franklin,Antrim 5,Supreme Court Retention - Kevin M Dougherty,,,No,784,687,97,0,1
Franklin,Antrim 5,Supreme Court Retention - David Wecht,,,Yes,372,233,137,2,1
Franklin,Antrim 5,Supreme Court Retention - David Wecht,,,No,783,685,98,0,1
Franklin,Antrim 5,Superior Court Retention - Alice Beck Dubow,,,Yes,440,288,151,1,1
Franklin,Antrim 5,Superior Court Retention - Alice Beck Dubow,,,No,687,606,81,0,1
Franklin,Antrim 5,Commonwealth Court Retention - Michael H Wojcik,,,Yes,438,286,151,1,1
Franklin,Antrim 5,Commonwealth Court Retention - Michael H Wojcik,,,No,689,608,81,0,1
Franklin,Antrim 5,Court of Common Pleas Retention - Todd M Sponseller,,,Yes,649,508,140,1,1
Franklin,Antrim 5,Court of Common Pleas Retention - Todd M Sponseller,,,No,463,384,79,0,1
Franklin,Chambersburg Ward 1 District 1,Registered Voters,,,,1816,,,,
Franklin,Chambersburg Ward 1 District 1,Ballots Cast,,,,693,497,196,0,
Franklin,Chambersburg Ward 1 District 1,Ballots Cast Blank,,,,0,0,0,0,
Franklin,Chambersburg Ward 1 District 1,Judge of the Superior Court,,DEM,Brandon Neuman,356,219,137,0,1
Franklin,Chambersburg Ward 1 District 1,Judge of the Superior Court,,REP,Maria Battista,312,264,48,0,1
Franklin,Chambersburg Ward 1 District 1,Judge of the Superior Court,,LBR,Daniel Wassmer,15,7,8,0,1
Franklin,Chambersburg Ward 1 District 1,Judge of the Superior Court,,,Write-ins,0,0,0,0,1
Franklin,Chambersburg Ward 1 District 1,Judge of the Commonwealth Court,,DEM,Stella Tsai,365,224,141,0,1
Franklin,Chambersburg Ward 1 District 1,Judge of the Commonwealth Court,,REP,Matt Wolford,318,266,52,0,1
Franklin,Chambersburg Ward 1 District 1,Judge of the Commonwealth Court,,,Write-ins,0,0,0,0,1
Franklin,Chambersburg Ward 1 District 1,Treasurer,,REP,Lisa Kauffman Helm,483,366,117,0,1
Franklin,Chambersburg Ward 1 District 1,Treasurer,,,Write-ins,33,23,10,0,1
Franklin,Chambersburg Ward 1 District 1,Tax Collector,Chambersburg,DAR,Brenda Hill,613,434,179,0,1
Franklin,Chambersburg Ward 1 District 1,Tax Collector,Chambersburg,,Write-ins,9,6,3,0,1
Franklin,Chambersburg Ward 1 District 1,Mayor,Chambersburg,DEM,"John (Sean) A. Scott, III",352,217,135,0,1
Franklin,Chambersburg Ward 1 District 1,Mayor,Chambersburg,REP,Kenneth C. Hock,334,273,61,0,1
Franklin,Chambersburg Ward 1 District 1,Mayor,Chambersburg,,Write-ins,2,2,0,0,1
Franklin,Chambersburg Ward 1 District 1,Borough Council,Chambersburg 1st,DEM,David R. Wilson,381,242,139,0,1
Franklin,Chambersburg Ward 1 District 1,Borough Council,Chambersburg 1st,REP,Allen B. Coffman,304,247,57,0,1
Franklin,Chambersburg Ward 1 District 1,Borough Council,Chambersburg 1st,,Write-ins,0,0,0,0,1
Franklin,Chambersburg Ward 1 District 1,Judge of Elections,,REP,Scott M. Finley,480,370,110,0,1
Franklin,Chambersburg Ward 1 District 1,Judge of Elections,,,Write-ins,37,25,12,0,1
Franklin,Chambersburg Ward 1 District 1,Inspector of Elections,,,Write-ins,76,53,23,0,1
Franklin,Chambersburg Ward 1 District 1,Supreme Court Retention - Christine Donohue,,,Yes,396,242,154,0,1
Franklin,Chambersburg Ward 1 District 1,Supreme Court Retention - Christine Donohue,,,No,264,230,34,0,1
Franklin,Chambersburg Ward 1 District 1,Supreme Court Retention - Kevin M Dougherty,,,Yes,393,240,153,0,1
Franklin,Chambersburg Ward 1 District 1,Supreme Court Retention - Kevin M Dougherty,,,No,264,228,36,0,1
