county,office,district,party,candidate,votes,mail,election_day,provisional
Fulton,Judge of the Superior Court,,DEM,BRANDON NEUMAN,623,182,441,0
Fulton,Judge of the Superior Court,,REP,MARIA BATTISTA,2574,231,2343,0
Fulton,Judge of the Superior Court,,LBR,DANIEL WASSMER,48,14,34,0
Fulton,Judge of the Commonwealth Court,,DEM,STELLA TSAI,633,190,443,0
Fulton,Judge of the Commonwealth Court,,REP,MATT WOLFORD,2616,234,2382,0
Fulton,Prothonotary,,REP,STEPHANIE SHERMAN,2932,317,2615,0
Fulton,Central Fulton School District School Director Four Year Term,,DEM/ REP,JASON C CARBAUGH,878,134,744,0
Fulton,Central Fulton School District School Director Four Year Term,,DEM/ REP,CRYSTAL D GLENN,811,124,687,0
Fulton,Central Fulton School District School Director Four Year Term,,DEM/ REP,JASON M SHARPE,830,124,706,0
Fulton,Central Fulton School District School Director Four Year Term,,DEM/ REP,TONYA DENISE WIBLE,764,116,648,0
Fulton,Central Fulton School District School Director Two Year Term,,IND,GREGORY ALLAN HORNBAKER,973,138,835,0
Fulton,Southern Fulton School District School Director Four Year Term,,DEM/ REP,PATRICK L BARD,678,82,596,0
Fulton,Southern Fulton School District School Director Four Year Term,,DEM/ REP,JADA HOOPENGARDNER SMITH,659,81,578,0
Fulton,Southern Fulton School District School Director Four Year Term,,DEM/ REP,ANTHONY C SHIVES,595,73,522,0
Fulton,Southern Fulton School District School Director Four Year Term,,DEM/ REP,MARK R MOSEMANN,684,80,604,0
Fulton,Southern Fulton School District School Director Four Year Term,,REP,DANIEL E PELTON,950,86,864,0
Fulton,Southern Fulton School District School Director Two Year Term,,DEM/ REP,JEFF HULL,875,97,778,0
Fulton,Forbes Road School District School Director Four Year Term,,DEM/ REP,ROBERT E HELMAN,335,56,279,0
Fulton,Forbes Road School District School Director Four Year Term,,DEM/ REP,JAMES SCOTT LUPEY,360,64,296,0
Fulton,Forbes Road School District School Director Four Year Term,,REP,DULCE HALL,420,62,358,0
Fulton,Forbes Road School District School Director Four Year Term,,REP,ANTHONY W VINSON,422,64,358,0
Fulton,Forbes Road School District School Director Four Year Term,,REP,KATHERINE R HOLLIBAUGH,384,60,324,0
Fulton,Ayr Township Supervisor Six Year Term,,REP,THURMAN E NESBITT III,432,52,380,0
Fulton,Ayr Township Auditor Six Year Term,,REP,AMBER SOUDERS,427,47,380,0
Fulton,Ayr Township Auditor Four Year Term,,REP,DIANE K CLEVER,434,51,383,0
Fulton,Ayr Township Tax Collector Four Year Term,,REP,MICHELLE R SOWERS,433,51,382,0
Fulton,Ayr Township Constable Six Year Term,,,,0,0,0,0
Fulton,Ayr Township Judge Of Elections Four Year Term,,REP,CARMEN M NESBITT,434,49,385,0
Fulton,Ayr Township Inspector Of Elections Four Year Term,,,,0,0,0,0
