county,precinct,office,district,party,candidate,votes,election_day,mail,provisional,vote_for
Cameron,Driftwood Borough,Registered Voters,,,,27,,,,
Cameron,Driftwood Borough,Ballots Cast,,,,18,12,6,0,
Cameron,Driftwood Borough,Ballots Cast Blank,,,,1,1,0,0,
Cameron,Driftwood Borough,Judge of the Superior Court,,DEM,BRANDON NEUMAN,2,0,2,0,1
Cameron,Driftwood Borough,Judge of the Superior Court,,REP,MARIA BATTISTA,14,10,4,0,1
Cameron,Driftwood Borough,Judge of the Superior Court,,LBR,DANIEL WASSMER,1,1,0,0,1
Cameron,Driftwood Borough,Judge of the Superior Court,,,Write-ins,0,0,0,0,1
Cameron,Driftwood Borough,Judge of the Superior Court,,,Overvotes,0,0,0,0,1
Cameron,Driftwood Borough,Judge of the Superior Court,,,Undervotes,1,1,0,0,1
Cameron,Driftwood Borough,Judge of the Commonwealth Court,,DEM,STELLA TSAI,2,0,2,0,1
Cameron,Driftwood Borough,Judge of the Commonwealth Court,,REP,MATT WOLFORD,14,10,4,0,1
Cameron,Driftwood Borough,Judge of the Commonwealth Court,,,Write-ins,0,0,0,0,1
Cameron,Driftwood Borough,Judge of the Commonwealth Court,,,Overvotes,0,0,0,0,1
Cameron,Driftwood Borough,Judge of the Commonwealth Court,,,Undervotes,2,2,0,0,1
Cameron,Driftwood Borough,Prothonotary,,REP,MARY GRACE OLAY,12,8,4,0,1
Cameron,Driftwood Borough,Prothonotary,,,Write-ins,0,0,0,0,1
Cameron,Driftwood Borough,Prothonotary,,,Overvotes,0,0,0,0,1
Cameron,Driftwood Borough,Prothonotary,,,Undervotes,6,4,2,0,1
Cameron,Driftwood Borough,Sheriff,,REP,DOUG HOMAN,17,11,6,0,1
Cameron,Driftwood Borough,Sheriff,,,Write-ins,0,0,0,0,1
Cameron,Driftwood Borough,Sheriff,,,Overvotes,0,0,0,0,1
Cameron,Driftwood Borough,Sheriff,,,Undervotes,1,1,0,0,1
Cameron,Driftwood Borough,School Director At Large (2 Year),,REP,JOHN C SCHATZ,12,9,3,0,1
Cameron,Driftwood Borough,School Director At Large (2 Year),,,Write-ins,0,0,0,0,1
Cameron,Driftwood Borough,School Director At Large (2 Year),,,Overvotes,0,0,0,0,1
Cameron,Driftwood Borough,School Director At Large (2 Year),,,Undervotes,6,3,3,0,1
Cameron,Driftwood Borough,School Director At Large (4 Year),,DEM,JAMES A SLUSARICK,6,2,4,0,2
Cameron,Driftwood Borough,School Director At Large (4 Year),,DEM,DUSTIN L BURGOON,4,0,4,0,2
Cameron,Driftwood Borough,School Director At Large (4 Year),,REP,ANTHONY C MOSCATO,11,7,4,0,2
Cameron,Driftwood Borough,School Director At Large (4 Year),,REP,SHERI LARSON,6,6,0,0,2
Cameron,Driftwood Borough,School Director At Large (4 Year),,,Write-ins,0,0,0,0,2
Cameron,Driftwood Borough,School Director At Large (4 Year),,,Overvotes,0,0,0,0,2
Cameron,Driftwood Borough,School Director At Large (4 Year),,,Undervotes,9,9,0,0,2
Cameron,Driftwood Borough,School Director Region III,,REP,MICHAEL SPAETH,15,11,4,0,1
Cameron,Driftwood Borough,School Director Region III,,,Write-ins,0,0,0,0,1
Cameron,Driftwood Borough,School Director Region III,,,Overvotes,0,0,0,0,1
Cameron,Driftwood Borough,School Director Region III,,,Undervotes,3,1,2,0,1
