county,precinct,office,district,party,candidate,votes,election_day,mail,provisional,vote_for
Washington,Allenport,Registered Voters,,,,318,,,,
Washington,Allenport,Ballots Cast,,,,128,114,14,0,
Washington,Allenport,Ballots Cast Blank,,,,0,0,0,0,
Washington,Allenport,Judge of the Superior Court,,DEM,BRANDON NEUMAN,69,59,10,0,1
Washington,Allenport,Judge of the Superior Court,,REP,MARIA BATTISTA,52,48,4,0,1
Washington,Allenport,Judge of the Superior Court,,LBR,DANIEL WASSMER,4,4,0,0,1
Washington,Allenport,Judge of the Superior Court,,,Write-ins,0,0,0,0,1
Washington,Allenport,Judge of the Commonwealth Court,,DEM,STELLA TSAI,64,55,9,0,1
Washington,Allenport,Judge of the Commonwealth Court,,REP,MATT WOLFORD,59,54,5,0,1
Washington,Allenport,Judge of the Commonwealth Court,,,Write-ins,0,0,0,0,1
Washington,Allenport,County Controller,,DEM,HEATHER SHEATLER,69,60,9,0,1
Washington,Allenport,County Controller,,REP,PAT PHILLIPS,54,49,5,0,1
Washington,Allenport,County Controller,,,Write-ins,0,0,0,0,1
Washington,Allenport,Recorder of Deeds,,REP,CARRIE PERRELL,79,68,11,0,1
Washington,Allenport,Recorder of Deeds,,,Write-ins,2,2,0,0,1
Washington,Allenport,Sheriff,,DEM/REP,TONY ANDRONAS,108,94,14,0,1
Washington,Allenport,Sheriff,,,Write-ins,1,1,0,0,1
Washington,Allenport,Magisterial District Judge,27-1-03,DEM/REP,ERIC G PORTER,109,95,14,0,1
Washington,Allenport,Magisterial District Judge,27-1-03,,Write-ins,1,1,0,0,1
Washington,Allenport,Mayor,Allenport,,Write-ins,63,58,5,0,1
Washington,Allenport,Borough Council,Allenport,DEM,RONDELL MICKEY,80,70,10,0,4
Washington,Allenport,Borough Council,Allenport,REP,NANCY KENNEDY WILLIAMSON,73,65,8,0,4
Washington,Allenport,Borough Council,Allenport,REP,WILLIAM J WILLIAMSON,67,60,7,0,4
Washington,Allenport,Borough Council,Allenport,,Write-ins,41,37,4,0,4
Washington,Allenport,Borough Council,Allenport,,Write-ins,22,18,4,0,2
Washington,Allenport,Tax Collector,Allenport,DEM,LINDA L SCHAUM,113,99,14,0,1
Washington,Allenport,Tax Collector,Allenport,,Write-ins,3,3,0,0,1
Washington,Allenport,School Director Region III,California Area,DEM/REP,GINA MARTIN,109,96,13,0,1
Washington,Allenport,School Director Region III,California Area,,Write-ins,3,3,0,0,1
Washington,Allenport,Judge of Elections Allenport,,,Write-ins,10,10,0,0,1
Washington,Allenport,Inspector of Elections Allenport,,,Write-ins,3,3,0,0,1
Washington,Allenport,Supreme Court Retention - Donohue,,,Yes,69,58,11,0,1
Washington,Allenport,Supreme Court Retention - Donohue,,,No,50,47,3,0,1
Washington,Allenport,Supreme Court Retention - Dougherty,,,Yes,70,59,11,0,1
Washington,Allenport,Supreme Court Retention - Dougherty,,,No,51,48,3,0,1
Washington,Allenport,Supreme Court Retention - Wecht,,,Yes,66,55,11,0,1
Washington,Allenport,Supreme Court Retention - Wecht,,,No,51,48,3,0,1
Washington,Allenport,Superior Court Retention - Dubow,,,Yes,62,53,9,0,1
Washington,Allenport,Superior Court Retention - Dubow,,,No,56,51,5,0,1
Washington,Allenport,Commonwealth Court Retention - Wojcik,,,Yes,60,52,8,0,1
Washington,Allenport,Commonwealth Court Retention - Wojcik,,,No,55,49,6,0,1
Washington,Allenport,Court of Common Pleas Retention - Gilman,,,Yes,72,61,11,0,1
Washington,Allenport,Court of Common Pleas Retention - Gilman,,,No,48,45,3,0,1
Washington,Amwell 1,Registered Voters,,,,1379,,,,
Washington,Amwell 1,Ballots Cast,,,,554,414,140,0,
Washington,Amwell 1,Ballots Cast Blank,,,,0,0,0,0,
Washington,Amwell 1,Judge of the Superior Court,,DEM,BRANDON NEUMAN,237,137,100,0,1
Washington,Amwell 1,Judge of the Superior Court,,REP,MARIA BATTISTA,302,265,37,0,1
Washington,Amwell 1,Judge of the Superior Court,,LBR,DANIEL WASSMER,4,2,2,0,1
