county,office,district,party,candidate,election_day,mail,provisional,votes
Warren,Judge of the Superior Court,,DEM,BRANDON NEUMAN,2373,1211,11,3595
Warren,Judge of the Superior Court,,REP,MARIA BATTISTA,5866,664,7,6537
Warren,Judge of the Superior Court,,LIB,DANIEL WASSMER,169,54,0,223
Warren,Judge of the Commonwealth Court,,DEM,STELLA TSAI,2414,1235,11,3660
Warren,Judge of the Commonwealth Court,,REP,MATT WOLFORD,5980,685,9,6674
Warren,Judge of the Court of Common Pleas (37th Judicial District),,DEM/REP,TODD WOODIN,7794,1743,18,9555
Warren,Prothonotary & Clerk of Courts of the Court of Common Pleas,,REP,AARON UBER,7252,1169,10,8431
Warren,District Attorney,,DEM,CASEY STRICKLAND,3532,1209,13,4754
Warren,District Attorney,,REP,CODY BROWN,5017,738,7,5762
Warren,County Coroner,,DEM/REP,MELISSA ZYDONIK,7882,1746,16,9644
Warren,School Director Warren County Region 1 School District,,DEM/REP,PAUL MANGIONE,1808,450,5,2263
Warren,School Director Warren County Region 1 School District,,DEM/REP,BRIDGET SCHWAB,1562,368,3,1933
Warren,School Director Warren County Region II School District,,DEM/REP,ROBERT COOK,2159,501,6,2666
Warren,School Director Warren County Region III School District,,DEM,MARY PASSINGER,882,341,2,1225
Warren,School Director Warren County Region III School District,,REP,MISTY MOORE,2054,266,2,2322
Warren,School Director Corry Area School District,,DEM/REP,JASON HALFAST,393,51,2,446
Warren,School Director Corry Area School District,,DEM/REP,AMY ALLEN,419,49,2,470
Warren,School Director Corry Area School District,,DEM/REP,RICHARD FARVER,375,52,2,429
Warren,School Director Corry Area School District,,DEM,JOE FRISINA,177,44,1,222
Warren,School Director Corry Area School District,,REP,ANDREA L CHELTON,395,27,2,424
Warren,School Director Corry Area School District,,DEM/REP,JOEL A COOK,393,52,3,448
Warren,School Director Corry Area School District,,DEM,BRITTANY DERRY,161,35,1,197
Warren,School Director Corry Area School District,,REP,JOE FRISINA,330,25,1,356
Warren,School Director Titusville Area School District,,DEM/REP,KRISTA STEINBUHLER,51,3,0,54
Warren,School Director Titusville Area School District,,DEM/REP,KEVIN ONEILL,49,3,0,52
Warren,School Director Titusville Area School District,,DEM/REP,MONICA ANN CHATHAM,50,4,0,54
Warren,School Director Titusville Area School District,,DEM/REP,JAMES E COME,52,3,0,55
Warren,Warren City Mayor,,REP,DAVID WORTMAN,1095,214,1,1310
Warren,Warren City Mayor,,IND,PHIL GILBERT,579,242,3,824
Warren,Warren City Council,,REP,JARED VILLELLA,1191,231,0,1422
Warren,Warren City Council,,REP,WILL CHAMPLIN,1135,213,0,1348
Warren,Warren City Council,,REP,MAURICE J CASHMAN,1002,166,0,1168
Warren,Judge of Election Warren North,,REP,ROBERT MARRONE,246,42,0,288
Warren,Judge of Election Warren East,,DEM,JOHN SHAUGHNESY,293,118,0,411
Warren,Inspector of Election Warren East,,REP,LISA W LEDEBUR,365,84,0,449
Warren,Judge of Election Warren West,,DEM,KAREN EGGLESTON,173,66,0,239
Warren,Judge of Election Warren Southeast,,DEM,ALICE M PEDERSEN,244,83,2,329
Warren,Borough Council,Bear Lake Borough,REP,KAREN MORTON,36,1,0,37
Warren,Judge of Election Bear Lake Boro,,REP,BETTY J CROSBY,34,1,0,35
Warren,Inspector of Election Bear Lake Boro,,REP,BARBARA DUNN,37,1,0,38
Warren,Mayor,Clarendon Borough,REP,THOMAS R EATON,53,1,0,54
Warren,Borough Council,Clarendon Borough,REP,PAUL J PASCUZZI,56,4,0,60
