county,office,district,party,candidate,votes,election_day,mail,provisional
Huntingdon,Registered Voters,,,,27927,,,
Huntingdon,Ballots Cast,,,,11702,9881,1809,12
Huntingdon,Ballots Cast Blank,,,,0,0,0,0
Huntingdon,Judge of the Superior Court,,DEM,BRANDON NEUMAN,3192,2143,1046,3
Huntingdon,Judge of the Superior Court,,REP,MARIA BATTISTA,8005,7309,687,9
Huntingdon,Judge of the Superior Court,,LBR,DANIEL WASSMER,167,142,25,0
Huntingdon,Judge of the Superior Court,,,Write-ins,4,3,1,0
Huntingdon,Judge of the Superior Court,,,Overvotes,12,7,5,0
Huntingdon,Judge of the Superior Court,,,Undervotes,322,277,45,0
Huntingdon,Judge of the Commonwealth Court,,DEM,STELLA TSAI,3269,2208,1058,3
Huntingdon,Judge of the Commonwealth Court,,REP,MATT WOLFORD,8072,7360,703,9
Huntingdon,Judge of the Commonwealth Court,,,Write-ins,4,4,0,0
Huntingdon,Judge of the Commonwealth Court,,,Overvotes,0,0,0,0
Huntingdon,Judge of the Commonwealth Court,,,Undervotes,357,309,48,0
Huntingdon,Judge of the Court of Common Pleas,,DEM/REP,RAY GHANER,10031,8456,1565,10
Huntingdon,Judge of the Court of Common Pleas,,,Write-ins,173,132,41,0
Huntingdon,Judge of the Court of Common Pleas,,,Overvotes,2,2,0,0
Huntingdon,Judge of the Court of Common Pleas,,,Undervotes,1496,1291,203,2
Huntingdon,Sheriff,,DEM/REP,JEFFREY LEONARD,10384,8790,1583,11
Huntingdon,Sheriff,,,Write-ins,75,63,12,0
Huntingdon,Sheriff,,,Overvotes,1,1,0,0
Huntingdon,Sheriff,,,Undervotes,1242,1027,214,1
Huntingdon,Prothonotary/Clerk of Courts,,DEM/REP,SARAH SNARE,10297,8691,1595,11
Huntingdon,Prothonotary/Clerk of Courts,,,Write-ins,48,39,9,0
Huntingdon,Prothonotary/Clerk of Courts,,,Overvotes,1,1,0,0
Huntingdon,Prothonotary/Clerk of Courts,,,Undervotes,1356,1150,205,1
Huntingdon,Magisterial District Judge,DISTRICT 20-3-01,DEM,JOSHUA A. MARTIN,1771,1390,381,0
Huntingdon,Magisterial District Judge,DISTRICT 20-3-01,REP,DOUG GUMMO,2962,2640,319,3
Huntingdon,Magisterial District Judge,DISTRICT 20-3-01,,Write-ins,5,5,0,0
Huntingdon,Magisterial District Judge,DISTRICT 20-3-01,,Overvotes,3,2,1,0
Huntingdon,Magisterial District Judge,DISTRICT 20-3-01,,Undervotes,62,51,11,0
Huntingdon,Mayor 4YR/1 ALEXANDRIA,,,Write-ins,17,16,1,0
Huntingdon,Mayor 4YR/1 ALEXANDRIA,,,Overvotes,0,0,0,0
Huntingdon,Mayor 4YR/1 ALEXANDRIA,,,Undervotes,94,84,10,0
Huntingdon,Mayor 4YR/1 BIRMINGHAM,,,Write-ins,11,11,0,0
Huntingdon,Mayor 4YR/1 BIRMINGHAM,,,Overvotes,0,0,0,0
Huntingdon,Mayor 4YR/1 BIRMINGHAM,,,Undervotes,19,18,1,0
Huntingdon,Mayor 4YR/1 CASSVILLE,,REP,AARON L. HICKS,24,20,4,0
Huntingdon,Mayor 4YR/1 CASSVILLE,,,Write-ins,4,4,0,0
Huntingdon,Mayor 4YR/1 CASSVILLE,,,Overvotes,0,0,0,0
Huntingdon,Mayor 4YR/1 CASSVILLE,,,Undervotes,1,1,0,0
Huntingdon,Mayor 4YR/1 COALMONT,,REP,PATTI SHAFFER,18,15,3,0
Huntingdon,Mayor 4YR/1 COALMONT,,,Write-ins,0,0,0,0
Huntingdon,Mayor 4YR/1 COALMONT,,,Overvotes,0,0,0,0
Huntingdon,Mayor 4YR/1 COALMONT,,,Undervotes,3,1,2,0
Huntingdon,Mayor 4YR/1 MARKLESBURG,,REP,COURTNEY K. MAHLE,64,56,8,0
Huntingdon,Mayor 4YR/1 MARKLESBURG,,,Write-ins,17,12,5,0
Huntingdon,Mayor 4YR/1 MARKLESBURG,,,Overvotes,0,0,0,0
Huntingdon,Mayor 4YR/1 MARKLESBURG,,,Undervotes,9,5,4,0
Huntingdon,Mayor 4YR/1 ORBISONIA,,REP,LINDA M. CLARK,83,81,2,0
