county,office,district,party,candidate,votes,election_day,mail,provisional
Juniata,Registered Voters,,,,14091,,,
Juniata,Ballots Cast,,,,6074,5147,921,6
Juniata,Ballots Cast Blank,,,,1,1,0,0
Juniata,Judge of the Superior Court,,DEM,BRANDON NEUMAN,1375,910,462,3
Juniata,Judge of the Superior Court,,REP,MARIA BATTISTA,4419,4006,410,3
Juniata,Judge of the Superior Court,,LBR,DANIEL WASSMER,92,74,18,0
Juniata,Judge of the Superior Court,,,Write-ins,5,5,0,0
Juniata,Judge of the Superior Court,,,Overvotes,6,6,0,0
Juniata,Judge of the Superior Court,,,Undervotes,177,146,31,0
Juniata,Judge of the Commonwealth Court,,DEM,STELLA TSAI,1381,911,469,1
Juniata,Judge of the Commonwealth Court,,REP,MATT WOLFORD,4504,4079,420,5
Juniata,Judge of the Commonwealth Court,,,Write-ins,6,6,0,0
Juniata,Judge of the Commonwealth Court,,,Overvotes,1,1,0,0
Juniata,Judge of the Commonwealth Court,,,Undervotes,182,150,32,0
Juniata,Sheriff,,REP,JOSHUA STIMELING,5229,4586,639,4
Juniata,Sheriff,,,Write-ins,127,93,33,1
Juniata,Sheriff,,,Overvotes,1,1,0,0
Juniata,Sheriff,,,Undervotes,717,467,249,1
Juniata,REGISTER & RECORDER,,REP,ALICIA ANSTINE SEIGLER,5390,4687,698,5
Juniata,REGISTER & RECORDER,,,Write-ins,54,36,18,0
Juniata,REGISTER & RECORDER,,,Overvotes,0,0,0,0
Juniata,REGISTER & RECORDER,,,Undervotes,630,424,205,1
Juniata,County Treasurer,,REP,LAURIE S. HOWER,5363,4685,673,5
Juniata,County Treasurer,,,Write-ins,58,37,21,0
Juniata,County Treasurer,,,Overvotes,1,1,0,0
Juniata,County Treasurer,,,Undervotes,652,424,227,1
Juniata,Magisterial District Judge,41-3-01,DAR,TRACY L. POWELL,2840,2386,450,4
Juniata,Magisterial District Judge,41-3-01,,Write-ins,77,65,12,0
Juniata,Magisterial District Judge,41-3-01,,Overvotes,0,0,0,0
Juniata,Magisterial District Judge,41-3-01,,Undervotes,446,356,90,0
Juniata,REGION 1 SCHOOL BOARD DIRECTOR,,DAR,ANGELA JO VARNER,363,328,35,0
Juniata,REGION 1 SCHOOL BOARD DIRECTOR,,,Write-ins,10,10,0,0
Juniata,REGION 1 SCHOOL BOARD DIRECTOR,,,Overvotes,0,0,0,0
Juniata,REGION 1 SCHOOL BOARD DIRECTOR,,,Undervotes,99,90,9,0
Juniata,REGION 2 SCHOOL BOARD DIRECTOR 2YR,,DEM,GABRIELLE FISHER,517,424,93,0
Juniata,REGION 2 SCHOOL BOARD DIRECTOR 2YR,,,Write-ins,58,55,3,0
Juniata,REGION 2 SCHOOL BOARD DIRECTOR 2YR,,,Overvotes,0,0,0,0
Juniata,REGION 2 SCHOOL BOARD DIRECTOR 2YR,,,Undervotes,312,275,37,0
Juniata,REGION 4 SCHOOL BOARD DIRECTOR,,DEM,HELEN CASNER,344,279,65,0
Juniata,REGION 4 SCHOOL BOARD DIRECTOR,,,Write-ins,49,47,2,0
Juniata,REGION 4 SCHOOL BOARD DIRECTOR,,,Overvotes,0,0,0,0
Juniata,REGION 4 SCHOOL BOARD DIRECTOR,,,Undervotes,249,229,20,0
Juniata,REGION 6 SCHOOL BOARD DIRECTOR 2YR,,DEM,LESLIE MILLIKEN,234,186,48,0
Juniata,REGION 6 SCHOOL BOARD DIRECTOR 2YR,,,Write-ins,16,16,0,0
Juniata,REGION 6 SCHOOL BOARD DIRECTOR 2YR,,,Overvotes,0,0,0,0
Juniata,REGION 6 SCHOOL BOARD DIRECTOR 2YR,,,Undervotes,145,129,16,0
Juniata,REGION 8 SCHOOL BOARD DIRECTOR,,REP,ALEIHA RAPP,527,470,57,0
Juniata,REGION 8 SCHOOL BOARD DIRECTOR,,,Write-ins,98,96,2,0
Juniata,REGION 8 SCHOOL BOARD DIRECTOR,,,Overvotes,0,0,0,0
Juniata,REGION 8 SCHOOL BOARD DIRECTOR,,,Undervotes,126,95,31,0
Juniata,REGION 9 SCHOOL BOARD DIRECTOR,,REP,TERRANCE M. SHEPLER,350,310,40,0
Juniata,REGION 9 SCHOOL BOARD DIRECTOR,,,Write-ins,24,20,4,0
Juniata,REGION 9 SCHOOL BOARD DIRECTOR,,,Overvotes,0,0,0,0
Juniata,REGION 9 SCHOOL BOARD DIRECTOR,,,Undervotes,58,44,14,0
Juniata,REGION 3 SCHOOL BOARD DIRECTOR,,REP,STEVEN M. WATTS,133,123,10,0
Juniata,REGION 3 SCHOOL BOARD DIRECTOR,,,Write-ins,6,6,0,0
Juniata,REGION 3 SCHOOL BOARD DIRECTOR,,,Overvotes,0,0,0,0
Juniata,REGION 3 SCHOOL BOARD DIRECTOR,,,Undervotes,23,17,6,0
Juniata,BEALE TOWNSHIP SUPERVISOR,,,Write-ins,97,95,2,0
Juniata,BEALE TOWNSHIP SUPERVISOR,,,Overvotes,0,0,0,0
Juniata,BEALE TOWNSHIP SUPERVISOR,,,Undervotes,128,117,11,0
Juniata,BEALE TOWNSHIP AUDITOR,,,Write-ins,30,28,2,0
Juniata,BEALE TOWNSHIP AUDITOR,,,Overvotes,0,0,0,0
Juniata,BEALE TOWNSHIP AUDITOR,,,Undervotes,195,184,11,0
Juniata,BEALE TOWNSHIP TAX COLLECTOR,,REP,ROSA L. SWARTZ,198,193,5,0
Juniata,BEALE TOWNSHIP TAX COLLECTOR,,,Write-ins,3,1,2,0
Juniata,BEALE TOWNSHIP TAX COLLECTOR,,,Overvotes,0,0,0,0
Juniata,BEALE TOWNSHIP TAX COLLECTOR,,,Undervotes,24,18,6,0
Juniata,BEALE TOWNSHIP JUDGE OF ELECTIONS,,DEM,LINDA E. PARTNER,176,164,12,0
