county,precinct,office,district,party,candidate,votes,election_day,mail,provisional,vote_for
Northampton,Allen Twsp North,Registered Voters,,,,2048,,,,
Northampton,Allen Twsp North,Ballots Cast,,,,858,541,314,3,
Northampton,Allen Twsp North,Ballots Cast Blank,,,,2,1,1,0,
Northampton,Allen Twsp North,Judge of the Superior Court,,REP,MARIA BATTISTA,428,332,94,2,1
Northampton,Allen Twsp North,Judge of the Superior Court,,DEM,BRANDON NEUMAN,391,183,207,1,1
Northampton,Allen Twsp North,Judge of the Superior Court,,LBR,DANIEL WASSMER,16,6,10,0,1
Northampton,Allen Twsp North,Judge of the Superior Court,,,Write-ins,0,0,0,0,1
Northampton,Allen Twsp North,Judge of the Commonwealth Court,,REP,MATT WOLFORD,425,329,94,2,1
Northampton,Allen Twsp North,Judge of the Commonwealth Court,,DEM,STELLA TSAI,400,184,215,1,1
Northampton,Allen Twsp North,Judge of the Commonwealth Court,,,Write-ins,0,0,0,0,1
Northampton,Allen Twsp North,Judge of the Court of Common Pleas,,REP,JAMES FULLER,418,323,93,2,1
Northampton,Allen Twsp North,Judge of the Court of Common Pleas,,DEM,JEREMY CLARK,406,190,215,1,1
Northampton,Allen Twsp North,Judge of the Court of Common Pleas,,,Write-ins,0,0,0,0,1
Northampton,Allen Twsp North,County Executive,,REP,TOM GIOVANNI,423,331,90,2,1
Northampton,Allen Twsp North,County Executive,,DEM,TARA ZRINSKI,404,186,217,1,1
Northampton,Allen Twsp North,County Executive,,,Write-ins,0,0,0,0,1
Northampton,Allen Twsp North,County Council At Large,,REP,JOHN BROWN,405,312,90,3,5
Northampton,Allen Twsp North,County Council At Large,,DEM,DAVID HOLLAND,402,184,217,1,5
Northampton,Allen Twsp North,County Council At Large,,REP,SAM ELIAS,401,309,90,2,5
Northampton,Allen Twsp North,County Council At Large,,DEM,LORI VARGO HEFFNER,400,180,219,1,5
Northampton,Allen Twsp North,County Council At Large,,REP,DANIEL CAMPO,400,310,88,2,5
Northampton,Allen Twsp North,County Council At Large,,REP,JOHN P. GOFFREDO,399,307,90,2,5
Northampton,Allen Twsp North,County Council At Large,,DEM,JASON BOULETTE,385,180,204,1,5
Northampton,Allen Twsp North,County Council At Large,,DEM,THERESA FADEM,375,171,204,0,5
Northampton,Allen Twsp North,County Council At Large,,REP,JUAN E. MARTINEZ,375,301,73,1,5
Northampton,Allen Twsp North,County Council At Large,,DEM,NADEEM QAYYUM,361,166,195,0,5
Northampton,Allen Twsp North,County Council At Large,,,Write-ins,0,0,0,0,5
Northampton,Allen Twsp North,School Director Region I,Northampton Area,DEM,DOUGLAS VAUGHN,420,200,220,0,1
Northampton,Allen Twsp North,School Director Region I,Northampton Area,REP,ZACHARY KROMER,415,326,86,3,1
Northampton,Allen Twsp North,School Director Region I,Northampton Area,,Write-ins,1,0,1,0,1
Northampton,Allen Twsp North,Township Supervisor (6 Year),Allen Twsp,REP,JASON M. FRACK,423,328,93,2,2
Northampton,Allen Twsp North,Township Supervisor (6 Year),Allen Twsp,REP,GERALD MONTANARI,403,316,84,3,2
Northampton,Allen Twsp North,Township Supervisor (6 Year),Allen Twsp,DEM,SEAN SCULLEY,401,184,216,1,2
Northampton,Allen Twsp North,Township Supervisor (6 Year),Allen Twsp,,Write-ins,8,1,7,0,2
Northampton,Allen Twsp North,Township Auditor (6 Year),Allen Twsp,,Write-ins,16,4,12,0,1
Northampton,Allen Twsp North,Tax Collector,Allen Twsp,,Write-ins,10,5,5,0,1
Northampton,Allen Twsp North,Judge of Elections,,,Write-ins,16,6,10,0,1
Northampton,Allen Twsp North,Inspector of Elections,,REP,SANDRA A. LEWELLIN,482,361,118,3,1
Northampton,Allen Twsp North,Inspector of Elections,,,Write-ins,6,2,4,0,1
Northampton,Allen Twsp North,Supreme Court Retention - Christine Donohue,,,Yes,439,225,213,1,1
Northampton,Allen Twsp North,Supreme Court Retention - Christine Donohue,,,No,381,294,85,2,1
Northampton,Allen Twsp North,Supreme Court Retention - Kevin M Dougherty,,,Yes,441,225,214,2,1
Northampton,Allen Twsp North,Supreme Court Retention - Kevin M Dougherty,,,No,377,292,84,1,1
Northampton,Allen Twsp North,Supreme Court Retention - David Wecht,,,Yes,438,224,213,1,1
Northampton,Allen Twsp North,Supreme Court Retention - David Wecht,,,No,377,292,84,1,1
Northampton,Allen Twsp North,Superior Court Retention - Alice Beck Dubow,,,Yes,402,210,191,1,1
Northampton,Allen Twsp North,Superior Court Retention - Alice Beck Dubow,,,No,375,280,93,2,1
Northampton,Allen Twsp North,Commonwealth Court Retention - Michael H Wojcik,,,Yes,409,218,190,1,1
Northampton,Allen Twsp North,Commonwealth Court Retention - Michael H Wojcik,,,No,364,268,95,1,1
Northampton,Allen Twsp North,Court of Common Pleas Retention - Samuel P Murray,,,Yes,439,229,209,1,1
Northampton,Allen Twsp North,Court of Common Pleas Retention - Samuel P Murray,,,No,339,259,79,1,1
Northampton,Allen Twsp North,Court of Common Pleas Retention - Paula A Roscioli,,,Yes,448,234,213,1,1
Northampton,Allen Twsp North,Court of Common Pleas Retention - Paula A Roscioli,,,No,337,256,80,1,1
Northampton,Allen Twsp South,Registered Voters,,,,2205,,,,
Northampton,Allen Twsp South,Ballots Cast,,,,919,474,442,3,
Northampton,Allen Twsp South,Ballots Cast Blank,,,,0,0,0,0,
Northampton,Allen Twsp South,Judge of the Superior Court,,DEM,BRANDON NEUMAN,522,205,316,1,1
Northampton,Allen Twsp South,Judge of the Superior Court,,REP,MARIA BATTISTA,365,251,112,2,1
Northampton,Allen Twsp South,Judge of the Superior Court,,LBR,DANIEL WASSMER,13,5,8,0,1
Northampton,Allen Twsp South,Judge of the Superior Court,,,Write-ins,0,0,0,0,1
Northampton,Allen Twsp South,Judge of the Commonwealth Court,,DEM,STELLA TSAI,525,202,322,1,1
Northampton,Allen Twsp South,Judge of the Commonwealth Court,,REP,MATT WOLFORD,370,257,111,2,1
Northampton,Allen Twsp South,Judge of the Commonwealth Court,,,Write-ins,0,0,0,0,1
Northampton,Allen Twsp South,Judge of the Court of Common Pleas,,DEM,JEREMY CLARK,528,202,325,1,1
Northampton,Allen Twsp South,Judge of the Court of Common Pleas,,REP,JAMES FULLER,371,256,113,2,1
Northampton,Allen Twsp South,Judge of the Court of Common Pleas,,,Write-ins,0,0,0,0,1
Northampton,Allen Twsp South,County Executive,,DEM,TARA ZRINSKI,537,207,329,1,1
Northampton,Allen Twsp South,County Executive,,REP,TOM GIOVANNI,356,246,108,2,1
Northampton,Allen Twsp South,County Executive,,,Write-ins,0,0,0,0,1
Northampton,Allen Twsp South,County Council At Large,,DEM,DAVID HOLLAND,509,196,312,1,5
Northampton,Allen Twsp South,County Council At Large,,DEM,LORI VARGO HEFFNER,507,195,311,1,5
Northampton,Allen Twsp South,County Council At Large,,DEM,THERESA FADEM,486,191,294,1,5
Northampton,Allen Twsp South,County Council At Large,,DEM,JASON BOULETTE,477,187,289,1,5
Northampton,Allen Twsp South,County Council At Large,,DEM,NADEEM QAYYUM,442,176,265,1,5
Northampton,Allen Twsp South,County Council At Large,,REP,DANIEL CAMPO,361,250,111,0,5
Northampton,Allen Twsp South,County Council At Large,,REP,SAM ELIAS,360,249,109,2,5
Northampton,Allen Twsp South,County Council At Large,,REP,JOHN BROWN,348,241,107,0,5
Northampton,Allen Twsp South,County Council At Large,,REP,JOHN P. GOFFREDO,342,241,101,0,5
Northampton,Allen Twsp South,County Council At Large,,REP,JUAN E. MARTINEZ,338,241,97,0,5
Northampton,Allen Twsp South,County Council At Large,,,Write-ins,0,0,0,0,5
Northampton,Allen Twsp South,School Director Region I,Northampton Area,DEM,DOUGLAS VAUGHN,541,220,320,1,1
Northampton,Allen Twsp South,School Director Region I,Northampton Area,REP,ZACHARY KROMER,352,240,112,0,1
Northampton,Allen Twsp South,School Director Region I,Northampton Area,,Write-ins,1,0,1,0,1
Northampton,Allen Twsp South,Township Supervisor (6 Year),Allen Twsp,DEM,SEAN SCULLEY,532,201,330,1,2
Northampton,Allen Twsp South,Township Supervisor (6 Year),Allen Twsp,REP,JASON M. FRACK,367,247,120,0,2
Northampton,Allen Twsp South,Township Supervisor (6 Year),Allen Twsp,REP,GERALD MONTANARI,341,242,99,0,2
Northampton,Allen Twsp South,Township Supervisor (6 Year),Allen Twsp,,Write-ins,3,2,1,0,2
Northampton,Allen Twsp South,Township Auditor (6 Year),Allen Twsp,,Write-ins,16,2,14,0,1
Northampton,Allen Twsp South,Tax Collector,Allen Twsp,,Write-ins,21,3,18,0,1
Northampton,Allen Twsp South,Judge of Elections,,REP,SANDRA PIZZOLATTO,454,280,174,0,1
Northampton,Allen Twsp South,Judge of Elections,,,Write-ins,14,5,9,0,1
Northampton,Allen Twsp South,Inspector of Elections,,,Write-ins,17,3,14,0,1
Northampton,Allen Twsp South,Supreme Court Retention - Christine Donohue,,,Yes,535,210,322,3,1
Northampton,Allen Twsp South,Supreme Court Retention - Christine Donohue,,,No,330,236,94,0,1
Northampton,Allen Twsp South,Supreme Court Retention - Kevin M Dougherty,,,Yes,530,208,319,3,1
Northampton,Allen Twsp South,Supreme Court Retention - Kevin M Dougherty,,,No,336,236,100,0,1
Northampton,Allen Twsp South,Supreme Court Retention - David Wecht,,,Yes,523,202,318,3,1
Northampton,Allen Twsp South,Supreme Court Retention - David Wecht,,,No,340,238,102,0,1
Northampton,Allen Twsp South,Superior Court Retention - Alice Beck Dubow,,,Yes,482,197,283,2,1
Northampton,Allen Twsp South,Superior Court Retention - Alice Beck Dubow,,,No,326,219,107,0,1
Northampton,Allen Twsp South,Commonwealth Court Retention - Michael H Wojcik,,,Yes,487,199,286,2,1
Northampton,Allen Twsp South,Commonwealth Court Retention - Michael H Wojcik,,,No,319,214,105,0,1
Northampton,Allen Twsp South,Court of Common Pleas Retention - Samuel P Murray,,,Yes,489,197,290,2,1
Northampton,Allen Twsp South,Court of Common Pleas Retention - Samuel P Murray,,,No,306,208,98,0,1
Northampton,Allen Twsp South,Court of Common Pleas Retention - Paula A Roscioli,,,Yes,501,206,293,2,1
Northampton,Allen Twsp South,Court of Common Pleas Retention - Paula A Roscioli,,,No,301,206,95,0,1
Northampton,Bangor Boro 1st Ward,Registered Voters,,,,917,,,,
Northampton,Bangor Boro 1st Ward,Ballots Cast,,,,208,195,12,1,
Northampton,Bangor Boro 1st Ward,Ballots Cast Blank,,,,0,0,0,0,
Northampton,Bangor Boro 1st Ward,Judge of the Superior Court,,DEM,BRANDON NEUMAN,109,98,11,0,1
Northampton,Bangor Boro 1st Ward,Judge of the Superior Court,,REP,MARIA BATTISTA,90,89,0,1,1
Northampton,Bangor Boro 1st Ward,Judge of the Superior Court,,LBR,DANIEL WASSMER,5,4,1,0,1
Northampton,Bangor Boro 1st Ward,Judge of the Superior Court,,,Write-ins,0,0,0,0,1
Northampton,Bangor Boro 1st Ward,Judge of the Commonwealth Court,,DEM,STELLA TSAI,110,98,12,0,1
Northampton,Bangor Boro 1st Ward,Judge of the Commonwealth Court,,REP,MATT WOLFORD,89,88,0,1,1
Northampton,Bangor Boro 1st Ward,Judge of the Commonwealth Court,,,Write-ins,0,0,0,0,1
Northampton,Bangor Boro 1st Ward,Judge of the Court of Common Pleas,,DEM,JEREMY CLARK,113,101,12,0,1
Northampton,Bangor Boro 1st Ward,Judge of the Court of Common Pleas,,REP,JAMES FULLER,89,88,0,1,1
Northampton,Bangor Boro 1st Ward,Judge of the Court of Common Pleas,,,Write-ins,0,0,0,0,1
Northampton,Bangor Boro 1st Ward,County Executive,,DEM,TARA ZRINSKI,112,101,11,0,1
Northampton,Bangor Boro 1st Ward,County Executive,,REP,TOM GIOVANNI,90,88,1,1,1
Northampton,Bangor Boro 1st Ward,County Executive,,,Write-ins,0,0,0,0,1
Northampton,Bangor Boro 1st Ward,County Council At Large,,DEM,LORI VARGO HEFFNER,106,96,9,1,5
Northampton,Bangor Boro 1st Ward,County Council At Large,,DEM,DAVID HOLLAND,100,90,10,0,5
Northampton,Bangor Boro 1st Ward,County Council At Large,,DEM,THERESA FADEM,98,88,10,0,5
Northampton,Bangor Boro 1st Ward,County Council At Large,,REP,JOHN P. GOFFREDO,97,96,0,1,5
Northampton,Bangor Boro 1st Ward,County Council At Large,,DEM,JASON BOULETTE,96,87,9,0,5
Northampton,Bangor Boro 1st Ward,County Council At Large,,REP,JOHN BROWN,92,92,0,0,5
Northampton,Bangor Boro 1st Ward,County Council At Large,,DEM,NADEEM QAYYUM,90,81,9,0,5
