county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
Potter,Abbott Township,Registered Voters,,,,198,,,
Potter,Abbott Township,Ballots Cast,,,,113,101,12,0
Potter,Abbott Township,Ballots Cast Blank,,,,0,0,0,0
Potter,Abbott Township,Judge of the Superior Court,,DEM,Brandon Neuman,16,13,3,0
Potter,Abbott Township,Judge of the Superior Court,,REP,Maria Battista,93,84,9,0
Potter,Abbott Township,Judge of the Superior Court,,LBR,Daniel Wassmer,0,0,0,0
Potter,Abbott Township,Judge of the Superior Court,,,Write-ins,0,0,0,0
Potter,Abbott Township,Judge of the Superior Court,,,Overvotes,0,0,0,0
Potter,Abbott Township,Judge of the Superior Court,,,Undervotes,4,4,0,0
Potter,Abbott Township,Judge of the Commonwealth Court,,DEM,Stella Tsai,18,15,3,0
Potter,Abbott Township,Judge of the Commonwealth Court,,REP,Matt Wolford,91,82,9,0
Potter,Abbott Township,Judge of the Commonwealth Court,,,Write-ins,0,0,0,0
Potter,Abbott Township,Judge of the Commonwealth Court,,,Overvotes,0,0,0,0
Potter,Abbott Township,Judge of the Commonwealth Court,,,Undervotes,4,4,0,0
Potter,Abbott Township,District Attorney,,REP,Andy Watson,105,94,11,0
Potter,Abbott Township,District Attorney,,,Write-ins,5,4,1,0
Potter,Abbott Township,District Attorney,,,Overvotes,0,0,0,0
Potter,Abbott Township,District Attorney,,,Undervotes,3,3,0,0
Potter,Abbott Township,Coroner,,REP,Kevin J Dusenbury,107,95,12,0
Potter,Abbott Township,Coroner,,,Write-ins,1,1,0,0
Potter,Abbott Township,Coroner,,,Overvotes,0,0,0,0
Potter,Abbott Township,Coroner,,,Undervotes,5,5,0,0
Potter,Abbott Township,School Director Region 3,Galeton Area,REP,Ryan Schott,43,38,5,0
Potter,Abbott Township,School Director Region 3,Galeton Area,,Write-ins,52,49,3,0
Potter,Abbott Township,School Director Region 3,Galeton Area,,Overvotes,0,0,0,0
Potter,Abbott Township,School Director Region 3,Galeton Area,,Undervotes,18,14,4,0
Potter,Abbott Township,Township Supervisor,Abbott Township,REP,Randy N Culp,96,88,8,0
Potter,Abbott Township,Township Supervisor,Abbott Township,,Write-ins,6,3,3,0
Potter,Abbott Township,Township Supervisor,Abbott Township,,Overvotes,0,0,0,0
Potter,Abbott Township,Township Supervisor,Abbott Township,,Undervotes,11,10,1,0
Potter,Abbott Township,Auditor (6 Year),Abbott Township,,Write-ins,17,13,4,0
Potter,Abbott Township,Auditor (6 Year),Abbott Township,,Overvotes,0,0,0,0
Potter,Abbott Township,Auditor (6 Year),Abbott Township,,Undervotes,96,88,8,0
Potter,Abbott Township,Auditor (4 Year),Abbott Township,REP,Linda S Culp,94,85,9,0
Potter,Abbott Township,Auditor (4 Year),Abbott Township,,Write-ins,4,2,2,0
Potter,Abbott Township,Auditor (4 Year),Abbott Township,,Overvotes,0,0,0,0
Potter,Abbott Township,Auditor (4 Year),Abbott Township,,Undervotes,15,14,1,0
Potter,Abbott Township,Auditor (2 Year),Abbott Township,,Write-ins,14,11,3,0
Potter,Abbott Township,Auditor (2 Year),Abbott Township,,Overvotes,0,0,0,0
Potter,Abbott Township,Auditor (2 Year),Abbott Township,,Undervotes,99,90,9,0
Potter,Abbott Township,Tax Collector,Abbott Township,REP,Sabrina Lemmon,39,31,8,0
Potter,Abbott Township,Tax Collector,Abbott Township,,Write-ins,72,69,3,0
Potter,Abbott Township,Tax Collector,Abbott Township,,Overvotes,0,0,0,0
Potter,Abbott Township,Tax Collector,Abbott Township,,Undervotes,2,1,1,0
Potter,Abbott Township,Judge of Elections,Abbott Township,REP,Bradine Fisher,98,91,7,0
Potter,Abbott Township,Judge of Elections,Abbott Township,,Write-ins,6,3,3,0
Potter,Abbott Township,Judge of Elections,Abbott Township,,Overvotes,0,0,0,0
Potter,Abbott Township,Judge of Elections,Abbott Township,,Undervotes,9,7,2,0
Potter,Abbott Township,Inspector of Elections,Abbott Township,DEM,Patricia Schellhorn,26,24,2,0
Potter,Abbott Township,Inspector of Elections,Abbott Township,REP,Mary May,85,76,9,0
Potter,Abbott Township,Inspector of Elections,Abbott Township,,Write-ins,1,0,1,0
Potter,Abbott Township,Inspector of Elections,Abbott Township,,Overvotes,0,0,0,0
Potter,Abbott Township,Inspector of Elections,Abbott Township,,Undervotes,1,1,0,0
Potter,Abbott Township,Supreme Court Retention - Christine Donohue,,,Yes,24,18,6,0
Potter,Abbott Township,Supreme Court Retention - Christine Donohue,,,No,88,82,6,0
Potter,Abbott Township,Supreme Court Retention - Christine Donohue,,,Overvotes,0,0,0,0
Potter,Abbott Township,Supreme Court Retention - Christine Donohue,,,Undervotes,1,1,0,0
Potter,Abbott Township,Supreme Court Retention - Kevin M Dougherty,,,Yes,25,19,6,0
Potter,Abbott Township,Supreme Court Retention - Kevin M Dougherty,,,No,88,82,6,0
Potter,Abbott Township,Supreme Court Retention - Kevin M Dougherty,,,Overvotes,0,0,0,0
Potter,Abbott Township,Supreme Court Retention - Kevin M Dougherty,,,Undervotes,0,0,0,0
Potter,Abbott Township,Supreme Court Retention - David Wecht,,,Yes,25,19,6,0
Potter,Abbott Township,Supreme Court Retention - David Wecht,,,No,88,82,6,0
Potter,Abbott Township,Supreme Court Retention - David Wecht,,,Overvotes,0,0,0,0
Potter,Abbott Township,Supreme Court Retention - David Wecht,,,Undervotes,0,0,0,0
Potter,Abbott Township,Superior Court Retention - Alice Beck Dubow,,,Yes,32,24,8,0
Potter,Abbott Township,Superior Court Retention - Alice Beck Dubow,,,No,78,74,4,0
