county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
Lebanon,Leb 1st Ward East 01E,Judge of the Superior Court,,DEM,BRANDON NEUMAN,119,86,32,1
Lebanon,Leb 1st Ward East 01E,Judge of the Superior Court,,REP,MARIA BATTISTA,99,84,14,1
Lebanon,Leb 1st Ward East 01E,Judge of the Superior Court,,LBR,DANIEL WASSMER,2,2,0,0
Lebanon,Leb 1st Ward East 01E,Judge of the Superior Court,,,Write-ins,0,0,0,0
Lebanon,Leb 1st Ward East 01E,Judge of the Commonwealth Court,,DEM,STELLA TSAI,119,88,30,1
Lebanon,Leb 1st Ward East 01E,Judge of the Commonwealth Court,,REP,MATT WOLFORD,97,80,16,1
Lebanon,Leb 1st Ward East 01E,Judge of the Commonwealth Court,,,Write-ins,0,0,0,0
Lebanon,Leb 1st Ward East 01E,District Attorney,,DEM,MICHAEL J LIGHT II,115,83,31,1
Lebanon,Leb 1st Ward East 01E,District Attorney,,REP,PIER HESS GRAF,100,84,15,1
Lebanon,Leb 1st Ward East 01E,District Attorney,,,Write-ins,0,0,0,0
Lebanon,Leb 1st Ward East 01E,Sheriff,,REP,JEFFRIE C MARLEY JR,152,124,26,2
Lebanon,Leb 1st Ward East 01E,Sheriff,,,Write-ins,4,4,0,0
Lebanon,Leb 1st Ward East 01E,Register of Wills and Clerk of Orphans Court,,REP,BRIAN CRAIG,155,126,27,2
Lebanon,Leb 1st Ward East 01E,Register of Wills and Clerk of Orphans Court,,,Write-ins,3,3,0,0
Lebanon,Leb 1st Ward East 01E,Magisterial District Judge,52-1-01,D/R,MARIA MELUSKEY DISSINGER,168,128,38,2
Lebanon,Leb 1st Ward East 01E,Magisterial District Judge,52-1-01,,Write-ins,3,3,0,0
Lebanon,Leb 1st Ward East 01E,School Director At Large,Lebanon,D/R,DEBRA L BOWMAN,104,76,27,1
Lebanon,Leb 1st Ward East 01E,School Director At Large,Lebanon,DEM,CEDRIC JORDAN,104,75,29,0
Lebanon,Leb 1st Ward East 01E,School Director At Large,Lebanon,REP,HOLLY KRISTOVENSKY,99,83,15,1
Lebanon,Leb 1st Ward East 01E,School Director At Large,Lebanon,REP,KERRY L SHUYLER,90,74,15,1
Lebanon,Leb 1st Ward East 01E,School Director At Large,Lebanon,DEM,ASHLEY CESSNA,89,62,27,0
Lebanon,Leb 1st Ward East 01E,School Director At Large,Lebanon,DEM,MARQUITA WARREN,85,56,28,1
Lebanon,Leb 1st Ward East 01E,School Director At Large,Lebanon,REP,ERIC D ELLIS,76,61,14,1
Lebanon,Leb 1st Ward East 01E,School Director At Large,Lebanon,,Write-ins,4,4,0,0
Lebanon,Leb 1st Ward East 01E,Mayor,Lebanon City,REP,SHERRY CAPELLO,120,100,20,0
Lebanon,Leb 1st Ward East 01E,Mayor,Lebanon City,DEM,CESAR B LIRIANO,102,73,27,2
Lebanon,Leb 1st Ward East 01E,Mayor,Lebanon City,,Write-ins,0,0,0,0
Lebanon,Leb 1st Ward East 01E,City Council,Lebanon City,DEM,CORNELL WILSON,118,83,33,2
Lebanon,Leb 1st Ward East 01E,City Council,Lebanon City,REP,KAREN S HAITOS,99,85,13,1
Lebanon,Leb 1st Ward East 01E,City Council,Lebanon City,REP,ANGELINA MARKO,84,68,16,0
Lebanon,Leb 1st Ward East 01E,City Council,Lebanon City,,Write-ins,3,2,1,0
