county,precinct,office,district,party,candidate,votes,election_day,mail,provisional,vote_for
Chester,Atglen,Registered Voters,,,,929,,,,
Chester,Atglen,Ballots Cast,,,,426,350,48,28,
Chester,Atglen,Ballots Cast Blank,,,,0,0,0,0,
Chester,Atglen,Judge of the Superior Court,,REP,Maria Battista,213,189,12,12,1
Chester,Atglen,Judge of the Superior Court,,DEM,Brandon Neuman,204,156,34,14,1
Chester,Atglen,Judge of the Superior Court,,LBR,Daniel Wassmer,6,2,2,2,1
Chester,Atglen,Judge of the Superior Court,,,Write-ins,0,0,0,0,1
Chester,Atglen,Judge of the Commonwealth Court,,REP,Matt Wolford,219,191,13,15,1
Chester,Atglen,Judge of the Commonwealth Court,,DEM,Stella Tsai,206,158,35,13,1
Chester,Atglen,Judge of the Commonwealth Court,,,Write-ins,0,0,0,0,1
Chester,Atglen,Judge of the Court of Common Pleas,,REP,Neill C. Kling,203,180,12,11,2
Chester,Atglen,Judge of the Court of Common Pleas,,DEM,Mackenzie Smith,198,149,35,14,2
Chester,Atglen,Judge of the Court of Common Pleas,,REP,Betty A. Ryberg,183,159,12,12,2
Chester,Atglen,Judge of the Court of Common Pleas,,DEM,"Clay Cauley, Sr.",168,132,28,8,2
Chester,Atglen,Judge of the Court of Common Pleas,,,Write-ins,0,0,0,0,2
Chester,Atglen,Clerk of Courts,,REP,Alissa McGrory,215,189,13,13,1
Chester,Atglen,Clerk of Courts,,DEM,Caroline Bradley,210,160,35,15,1
Chester,Atglen,Clerk of Courts,,,Write-ins,0,0,0,0,1
Chester,Atglen,County Controller,,REP,Joseph Lorusso,216,190,13,13,1
Chester,Atglen,County Controller,,DEM,Nick Cherubino,208,158,35,15,1
Chester,Atglen,County Controller,,,Write-ins,0,0,0,0,1
Chester,Atglen,Coroner,,REP,Thomas John Hatzidais,211,187,11,13,1
Chester,Atglen,Coroner,,DEM,Sophia Garcia-Jackson,209,158,36,15,1
Chester,Atglen,Coroner,,,Write-ins,1,1,0,0,1
Chester,Atglen,Prothonotary (Unexpired 2 Year),,REP,Christopher Thomson,213,187,12,14,1
Chester,Atglen,Prothonotary (Unexpired 2 Year),,DEM,Alex Christy,209,159,36,14,1
Chester,Atglen,Prothonotary (Unexpired 2 Year),,,Write-ins,0,0,0,0,1
