county,office,district,party,candidate,votes,election_day,mail,provisional
Mercer,Registered Voters,,,,71867,0,0,0
Mercer,Ballots Cast,,,,28685,22776,5856,53
Mercer,Ballots Cast Blank,,,,4,2,0,2
Mercer,Judge of the Superior Court,,REP,MARIA BATTISTA,15541,13787,1739,15
Mercer,Judge of the Superior Court,,DEM,BRANDON NEUMAN,11786,7883,3870,33
Mercer,Judge of the Superior Court,,LBR,DANIEL WASSMER,612,475,136,1
Mercer,Judge of the Superior Court,,,Write-ins,15,14,1,0
Mercer,Judge of the Commonwealth Court,,REP,MATT WOLFORD,15989,14156,1817,16
Mercer,Judge of the Commonwealth Court,,DEM,STELLA TSAI,11994,8007,3953,34
Mercer,Judge of the Commonwealth Court,,,Write-ins,17,17,0,0
Mercer,Controller,,REP,STEPHEN J SHERMAN II,16146,14219,1911,16
Mercer,Controller,,DEM,DEBORAH FISCHER,11995,8105,3855,35
Mercer,Controller,,,Write-ins,15,14,1,0
Mercer,Treasurer,,REP,AMBER WHITE,20294,17063,3206,25
Mercer,Treasurer,,,Write-ins,489,359,129,1
Mercer,School Director,Sharpsville,D/R,RUSS ADKINS,1495,1164,329,2
Mercer,School Director,Sharpsville,D/R,ROSEMARY FERGUSON,1221,919,301,1
Mercer,School Director,Sharpsville,D/R,KEVIN SETTERBERG,1010,747,262,1
Mercer,School Director,Sharpsville,D/R,LAURA FETTE,1138,841,296,1
Mercer,School Director,Sharpsville,,Write-ins,41,26,15,0
Mercer,Mayor,Clark Borough,DEM,MARYJO HARAKAL,137,109,28,0
Mercer,Mayor,Clark Borough,,Write-ins,7,3,4,0
Mercer,Borough Council,Clark Borough,REP,JOSEPH ANDREW SIMKO,115,90,25,0
Mercer,Borough Council,Clark Borough,REP,CAROL HOUCK,112,89,23,0
Mercer,Borough Council,Clark Borough,DEM,DOUGLAS H ROBBINS,106,79,27,0
Mercer,Borough Council,Clark Borough,,Write-ins,14,10,4,0
Mercer,Tax Collector,Clark Borough,DEM,BARBARA A MCKNIGHT,143,110,33,0
Mercer,Tax Collector,Clark Borough,,Write-ins,1,1,0,0
Mercer,Judge of Elections,,,Write-ins,711,556,152,3
Mercer,Inspector of Elections,,REP,LUCINDA CINDY MUSSER,146,119,27,0
Mercer,Inspector of Elections,,,Write-ins,604,452,149,3
Mercer,Supreme Court Retention - Christine Donohue,,,Yes,13429,9400,3993,36
Mercer,Supreme Court Retention - Christine Donohue,,,No,14015,12371,1631,13
Mercer,Supreme Court Retention - Kevin M Dougherty,,,Yes,13359,9342,3982,35
Mercer,Supreme Court Retention - Kevin M Dougherty,,,No,13996,12346,1636,14
Mercer,Supreme Court Retention - David Wecht,,,Yes,13234,9223,3976,35
Mercer,Supreme Court Retention - David Wecht,,,No,14025,12383,1628,14
Mercer,Superior Court Retention - Alice Beck Dubow,,,Yes,13460,9471,3956,33
Mercer,Superior Court Retention - Alice Beck Dubow,,,No,13152,11669,1468,15
Mercer,Commonwealth Court Retention - Michael H Wojcik,,,Yes,13473,9495,3945,33
Mercer,Commonwealth Court Retention - Michael H Wojcik,,,No,13003,11530,1458,15
Mercer,School Director Region A,Mercer,D/R,AIMEE CARTER PETERS,641,475,163,3
Mercer,School Director Region A,Mercer,D/R,DAVID R LENGEL,603,472,130,1
Mercer,School Director Region A,Mercer,,Write-ins,5,3,2,0
Mercer,Township Supervisor,Coolspring Township,REP,KENNETH STRUTHERS,398,310,85,3
Mercer,Township Supervisor,Coolspring Township,DEM,DALE BESTWICK,292,221,70,1
Mercer,Township Supervisor,Coolspring Township,,Write-ins,28,21,6,1
Mercer,Township Supervisor,Coolspring Township,D/R,DREW W SHAFFER,532,409,122,1
Mercer,Township Auditor,Coolspring Township,REP,JEFFREY STAUL,563,459,102,2
Mercer,Township Auditor,Coolspring Township,,Write-ins,5,4,1,0
Mercer,Tax Collector,Coolspring Township,REP,BRENDA STRUTHERS,620,486,130,4
Mercer,Tax Collector,Coolspring Township,,Write-ins,6,4,2,0
Mercer,Inspector of Elections,,REP,CYNTHIA CRYTZER,563,456,105,2
Mercer,School Director Region A,Commodore Perry,D/R,HEIDI C GRINNELL,300,267,33,0
Mercer,School Director Region A,Commodore Perry,,Write-ins,7,7,0,0
Mercer,Township Supervisor,Deer Creek Township,REP,MICHAEL CASTONA,109,102,7,0
Mercer,Township Supervisor,Deer Creek Township,,Write-ins,2,2,0,0
Mercer,Township Auditor,Deer Creek Township,REP,VICTORIA L HUSTON,108,102,6,0
Mercer,Township Auditor,Deer Creek Township,,Write-ins,2,2,0,0
Mercer,Tax Collector,Deer Creek/New Lebanon,REP,LISA MEADORS,145,135,10,0
Mercer,Tax Collector,Deer Creek/New Lebanon,,Write-ins,3,3,0,0
Mercer,Judge of Elections,,REP,AUDREY STALLSMITH,112,104,8,0
Mercer,Inspector of Elections,,REP,MICHELLE LEE KEPPLE,107,101,6,0
Mercer,School Director Region A,Reynolds,REP,KENNETH A MILLER,517,439,78,0
Mercer,School Director Region A,Reynolds,,Write-ins,14,12,2,0
Mercer,Township Supervisor,Delaware Township,REP,DANIEL P NAGEL,421,350,71,0
Mercer,Township Supervisor,Delaware Township,,Write-ins,15,12,3,0
Mercer,Township Auditor,Delaware Township,,Write-ins,39,34,5,0
Mercer,Tax Collector,Delaware Township,D/R,MICHAEL KOSMOWSKI,465,364,101,0
Mercer,Tax Collector,Delaware Township,,Write-ins,10,9,1,0
Mercer,Judge of Elections,,REP,MARY SUDDOTH,434,362,72,0
Mercer,Inspector of Elections,,REP,MARCIA COLSON,432,363,69,0
Mercer,School Director Region B,Mercer,REP,BECKY WOODS BOLYARD,626,543,83,0
Mercer,School Director Region B,Mercer,DEM,J JARRETT K WHALEN,356,256,99,1
Mercer,School Director Region B,Mercer,,Write-ins,0,0,0,0
Mercer,Township Supervisor,East Lackawannock Township,REP,JAMES AMMER,386,330,56,0
Mercer,Township Supervisor,East Lackawannock Township,,Write-ins,14,12,2,0
Mercer,Township Supervisor,East Lackawannock Township,REP,CLAYTON YANAK,385,331,54,0
Mercer,Township Auditor,East Lackawannock Township,REP,BETSY H RUST,383,329,54,0
Mercer,Township Auditor,East Lackawannock Township,,Write-ins,6,4,2,0
Mercer,Tax Collector,East Lackawannock Township,REP,JEAN A DOUGLAS,388,333,55,0
Mercer,Tax Collector,East Lackawannock Township,,Write-ins,4,2,2,0
Mercer,Inspector of Elections,,REP,MARY ANN MCCRACKEN,382,326,56,0
Mercer,School Director,Lakeview,REP,MICHAEL ROTZ,1214,1108,106,0
Mercer,School Director,Lakeview,REP,BETTY MOORE,1363,1222,141,0
Mercer,School Director,Lakeview,D/R,JASON POWERS,988,818,170,0
Mercer,School Director,Lakeview,D/R,DAN SAVOLSKIS,861,693,168,0
Mercer,School Director,Lakeview,,Write-ins,932,912,20,0
Mercer,Township Supervisor,Fairview Township,REP,BARRY R STRUTHERS,174,163,11,0
Mercer,Township Supervisor,Fairview Township,,Write-ins,6,4,2,0
Mercer,Township Auditor,Fairview Township,REP,SHERRY LEE MCDOWELL,181,168,13,0
Mercer,Township Auditor,Fairview Township,,Write-ins,2,2,0,0
Mercer,Township Auditor (4 Year),Fairview Township,,Write-ins,6,4,2,0
Mercer,Township Auditor (2 Year),Fairview Township,,Write-ins,5,3,2,0
Mercer,Tax Collector,Fairview Township,REP,SHEILA YATSKO,184,170,14,0
Mercer,Tax Collector,Fairview Township,,Write-ins,0,0,0,0
Mercer,School Director,Farrell,DEM,LISA PEGUES,753,577,176,0
Mercer,School Director,Farrell,D/R,PATRICE LEE,552,434,117,1
Mercer,School Director,Farrell,D/R,ALLEN HARRISON,558,434,124,0
Mercer,School Director,Farrell,DEM,SUSAN RADO,627,455,172,0
Mercer,School Director,Farrell,,Write-ins,21,13,8,0
Mercer,City Council,Farrell,DEM,MICHAEL L WRIGHT,705,537,168,0
Mercer,City Council,Farrell,DEM,CARMINAL G CRAIG,586,453,133,0
Mercer,City Council,Farrell,DEM,JESSICA TALBERT-KIRSCH,597,458,138,1
Mercer,City Council,Farrell,DEM,LYNDA MOSS-MCDOUGALL,558,419,139,0
Mercer,City Council,Farrell,,Write-ins,17,13,4,0
Mercer,Judge of Elections,,DEM,MONICA Y WILLIAMS,75,53,22,0
Mercer,Charter Amendment 1,Farrell,,Yes,450,345,105,0
Mercer,Charter Amendment 1,Farrell,,No,389,289,100,0
Mercer,Charter Amendment 2,Farrell,,Yes,447,361,86,0
Mercer,Charter Amendment 2,Farrell,,No,419,297,122,0
Mercer,Charter Amendment 3,Farrell,,Yes,469,362,107,0
Mercer,Charter Amendment 3,Farrell,,No,382,279,103,0
Mercer,Judge of Elections,,DEM,MATTIE GRAHAM-MILLER,138,99,39,0
Mercer,Inspector of Elections,,DEM,REGINA LYNN HARRISON,171,130,41,0
Mercer,Township Supervisor,Findley Township,REP,ANDREW W TOMSON,319,266,53,0
Mercer,Township Supervisor,Findley Township,,Write-ins,10,7,3,0
Mercer,Township Auditor,Findley Township,REP,HAYLEY L PEARS,312,264,48,0
Mercer,Township Auditor,Findley Township,,Write-ins,6,3,3,0
Mercer,Tax Collector,Findley Township,REP,KAREN B SHIPTON,337,279,58,0
Mercer,Tax Collector,Findley Township,,Write-ins,3,2,1,0
Mercer,Mayor,Fredonia Borough,DEM,SUSAN ANTHONY,73,63,10,0
Mercer,Mayor,Fredonia Borough,,Write-ins,3,3,0,0
Mercer,Borough Council,Fredonia Borough,REP,SHERI VALIMONT,89,81,8,0
Mercer,Borough Council,Fredonia Borough,DEM,RONALD A MEAD,48,38,10,0
Mercer,Borough Council,Fredonia Borough,,Write-ins,19,19,0,0
Mercer,Tax Collector,Fredonia Borough,DEM,MONICA L GILSON,79,69,10,0
Mercer,Tax Collector,Fredonia Borough,,Write-ins,3,3,0,0
Mercer,Inspector of Elections,,REP,ASHLEY PHILSON,101,91,10,0
Mercer,School Director,Crawford Central,REP,D JERRY VETTOREL,144,139,5,0
Mercer,School Director,Crawford Central,D/R,TAMMY SILVIS,85,72,13,0
Mercer,School Director,Crawford Central,D/R,LATASHA MANNING,75,63,12,0
Mercer,School Director,Crawford Central,D/R,SEAN MURPHY,73,61,12,0
Mercer,School Director,Crawford Central,DEM,DAVID MOORE,60,41,19,0
Mercer,School Director,Crawford Central,,Write-ins,1,1,0,0
Mercer,Township Supervisor,French Creek Township,REP,WILLIAM L NEMETH,163,152,11,0
Mercer,Township Supervisor,French Creek Township,,Write-ins,3,2,1,0
Mercer,Township Auditor,French Creek Township,REP,CARLEEN SHAW,164,153,11,0
Mercer,Township Auditor,French Creek Township,,Write-ins,1,0,1,0
Mercer,Tax Collector,French Creek Township,REP,SANDRA K SWOGGER,157,139,18,0
Mercer,Tax Collector,French Creek Township,,Write-ins,14,13,1,0
Mercer,Judge of Elections,,REP,PATRICIA MASE,167,154,13,0
Mercer,Inspector of Elections,,REP,CAROL JEAN BURT,124,121,3,0
Mercer,Inspector of Elections,,DEM,DESEREE ERDLEY,76,56,20,0
Mercer,School Director,Jamestown,REP,BENJAMIN SCOTT,250,217,33,0
Mercer,School Director,Jamestown,REP,ROBERT HUTCHINSON,226,197,29,0
Mercer,School Director,Jamestown,REP,COLE TERNENT,200,169,31,0
Mercer,School Director,Jamestown,,Write-ins,23,21,2,0
Mercer,Township Supervisor,Greene Township,,Write-ins,25,25,0,0
Mercer,Township Auditor,Greene Township,,Write-ins,3,3,0,0
Mercer,Township Auditor (4 Year),Greene Township,,Write-ins,0,0,0,0
Mercer,Township Auditor (2 Year),Greene Township,,Write-ins,0,0,0,0
Mercer,Tax Collector,Greene Township,REP,FONDA MCELHINNY,190,162,28,0
Mercer,Tax Collector,Greene Township,,Write-ins,1,0,1,0
Mercer,School Director,Greenville,D/R,LAURA LESKOVAC,1581,1272,305,4
Mercer,School Director,Greenville,D/R,DAN BARBER,1391,1110,278,3
Mercer,School Director,Greenville,D/R,JOHN P CASCIO JR,1302,1039,260,3
Mercer,School Director,Greenville,D/R,DAVID M SILVESTRI,1213,962,248,3
Mercer,School Director,Greenville,,Write-ins,50,48,2,0
Mercer,Mayor,Town of Greenville,DEM,JEAN CARR-FISHER,556,427,127,2
Mercer,Mayor,Town of Greenville,REP,PAUL R HAMILL,313,273,40,0
Mercer,Mayor,Town of Greenville,,Write-ins,168,159,7,2
Mercer,Borough Council,Town of Greenville,DEM,JEAN CARR-FISHER,504,388,114,2
Mercer,Borough Council,Town of Greenville,REP,TREY WILT,555,494,58,3
Mercer,Borough Council,Town of Greenville,REP,JENNIFER LEE ALEXANDER,411,366,42,3
Mercer,Borough Council,Town of Greenville,DEM,ANNE BUTCHER,454,331,120,3
Mercer,Borough Council,Town of Greenville,REP,PAUL R HAMILL,279,246,31,2
Mercer,Borough Council,Town of Greenville,,Write-ins,308,275,33,0
Mercer,Tax Collector,Town of Greenville,REP,FRANK H VANDERSLICE,896,760,132,4
Mercer,Tax Collector,Town of Greenville,,Write-ins,25,23,2,0
Mercer,Charter Amendment 1,Town of Greenville,,Yes,818,676,139,3
Mercer,Charter Amendment 1,Town of Greenville,,No,201,171,28,2
Mercer,Charter Amendment 2,Town of Greenville,,Yes,592,492,97,3
Mercer,Charter Amendment 2,Town of Greenville,,No,437,364,71,2
Mercer,Charter Amendment 3,Town of Greenville,,Yes,572,474,96,2
Mercer,Charter Amendment 3,Town of Greenville,,No,444,373,68,3
Mercer,Charter Amendment 4,Town of Greenville,,Yes,618,503,113,2
Mercer,Charter Amendment 4,Town of Greenville,,No,353,309,41,3
Mercer,Judge of Elections,,REP,DARRY L WALKER,285,255,28,2
Mercer,Inspector of Elections,,REP,KAREN L SHILLING,219,201,17,1
Mercer,Inspector of Elections,,DEM,ERIN REED,153,124,27,2
Mercer,Judge of Elections,,REP,JAMES EDWIN CLAPPER,237,196,41,0
Mercer,Inspector of Elections,,REP,FLORENCE K JONES,237,194,43,0
Mercer,School Director,Grove City,REP,RAY ABPLANALP,2379,2057,321,1
Mercer,School Director,Grove City,D/R,SANDY PHIPPS,2121,1631,486,4
Mercer,School Director,Grove City,REP,MITCHELL AUGUSTINE,2306,2046,260,0
Mercer,School Director,Grove City,REP,AUGIE HURST,2344,2061,281,2
Mercer,School Director,Grove City,DEM,PATTY WILSON,1707,1160,541,6
Mercer,School Director,Grove City,DEM,ANGELA NAVARRO,1512,1049,459,4
Mercer,School Director,Grove City,DEM,AMANDA MACISAAC,1429,972,453,4
Mercer,School Director,Grove City,,Write-ins,34,25,9,0
Mercer,Mayor,Grove City Borough,D/R,RANDY L RIDDLE,1352,1121,228,3
Mercer,Mayor,Grove City Borough,,Write-ins,41,33,7,1
Mercer,Borough Council,Grove City Ward 1,REP,VINCENT F DISTASI,204,169,34,1
Mercer,Borough Council,Grove City Ward 1,,Write-ins,4,2,2,0
Mercer,Tax Collector,Grove City Borough,D/R,MATTHEW D FISCHER,1338,1109,226,3
Mercer,Tax Collector,Grove City Borough,,Write-ins,28,22,5,1
Mercer,Borough Council,Grove City Ward 2,REP,SHAWN M MORLEY,212,190,22,0
Mercer,Borough Council,Grove City Ward 2,,Write-ins,3,3,0,0
Mercer,Judge of Elections,,REP,DEDE WISHING,218,193,25,0
Mercer,Borough Council,Grove City Ward 3,REP,MARY KAY MATTOCKS,177,141,35,1
Mercer,Borough Council,Grove City Ward 3,,Write-ins,20,11,7,2
Mercer,Borough Council,Grove City Ward 3,REP,PATRICK L EAKIN,169,139,29,1
Mercer,Borough Council,Grove City Ward 4,REP,JULIE SWARTFAGER,230,219,11,0
Mercer,Borough Council,Grove City Ward 4,DEM,WILLIAM CALDWELL,159,118,40,1
Mercer,Borough Council,Grove City Ward 4,,Write-ins,0,0,0,0
Mercer,Judge of Elections,,DEM,EDITH ANDERSON,256,210,45,1
Mercer,Inspector of Elections,,DEM,PAULA R LOUISE,272,226,45,1
Mercer,Borough Council,Grove City Ward 5,D/R,WILLIAM ZIMMERMAN,309,248,61,0
Mercer,Borough Council,Grove City Ward 5,,Write-ins,2,2,0,0
Mercer,Judge of Elections,,DEM,DEBORAH FISCHER,267,210,57,0
Mercer,Inspector of Elections,,DEM,THOMAS S MOORE,260,201,59,0
Mercer,Township Supervisor,Hempfield Township,REP,JON W ROSS,723,608,115,0
Mercer,Township Supervisor,Hempfield Township,,Write-ins,18,15,3,0
Mercer,Township Auditor,Hempfield Township,,Write-ins,42,35,7,0
Mercer,Tax Collector,Hempfield Township,REP,RHONDA SCHADT,804,673,131,0
Mercer,Tax Collector,Hempfield Township,,Write-ins,4,2,2,0
Mercer,Inspector of Elections,,D/R,RUTH E FULTON,349,271,78,0
Mercer,School Director,Hermitage,REP,MATT RISTVEY,2686,2197,485,4
Mercer,School Director,Hermitage,D/R,MEGHANN FLYNN,2854,2023,827,4
Mercer,School Director,Hermitage,DEM,PATRICK CHOVAN,2592,1614,971,7
Mercer,School Director,Hermitage,D/R,STEVEN HAND,2743,1994,748,1
Mercer,School Director,Hermitage,D/R,SCOTT LORDO,2303,1640,658,5
Mercer,School Director,Hermitage,,Write-ins,39,28,11,0
Mercer,City Commissioner,Hermitage,DEM,LOUIS E SQUATRITO JR,2887,1844,1036,7
Mercer,City Commissioner,Hermitage,DEM,CHRIS RUFFO,2357,1431,919,7
Mercer,City Commissioner,Hermitage,REP,JOHN C MOROCO,2511,2068,440,3
Mercer,City Commissioner,Hermitage,REP,ANDREW J BUCCI,1987,1660,325,2
Mercer,City Commissioner,Hermitage,REP,CAMERON S LINTON,2406,1943,462,1
Mercer,City Commissioner,Hermitage,,Write-ins,39,28,11,0
Mercer,City Treasurer,Hermitage,DEM,BERNIE HARRY,4133,2879,1246,8
Mercer,City Treasurer,Hermitage,,Write-ins,84,76,8,0
Mercer,Inspector of Elections,,REP,ROBERT J THOMAS,126,108,17,1
Mercer,Judge of Elections,,REP,GORDON F HARBISON,349,260,88,1
Mercer,Inspector of Elections,,REP,KATHERINE MONDAK,268,216,52,0
Mercer,Inspector of Elections,,DEM,WILLIAM T ZAMARY,253,127,125,1
Mercer,Judge of Elections,,REP,KAROL PATTON,309,242,67,0
Mercer,Inspector of Elections,,REP,ROBERT L PATTON,308,240,68,0
Mercer,Inspector of Elections,,REP,SHIRLEY C JONES,206,166,40,0
Mercer,Judge of Elections,,DEM,VAN D HOAGLAND,213,124,89,0
Mercer,Judge of Elections,,DEM,TINA MARIE PIATEK,236,169,67,0
Mercer,Inspector of Elections,,DEM,RONALD E MONACO,232,164,68,0
Mercer,Inspector of Elections,,DEM,CHARLES W BALDOFF,405,271,134,0
Mercer,Judge of Elections,,REP,BERTHA JEAN LAPHAM,278,225,53,0
Mercer,Inspector of Elections,,REP,PAUL POLESNAK,291,233,58,0
Mercer,Judge of Elections,,DEM,ANGELA M PALUMBO,317,239,78,0
Mercer,Inspector of Elections,,REP,MARIA KOLEDIN,356,299,57,0
Mercer,Borough Council,Jackson Center Borough,REP,MARVIN R MCAFOOSE,58,52,6,0
Mercer,Borough Council,Jackson Center Borough,,Write-ins,7,7,0,0
Mercer,Borough Auditor,Jackson Center Borough,,Write-ins,4,4,0,0
Mercer,Tax Collector,Jackson/Jackson Center Tax,REP,ROBIN L LEGAL,375,329,46,0
Mercer,Tax Collector,Jackson/Jackson Center Tax,,Write-ins,0,0,0,0
Mercer,Township Supervisor,Jackson Township,,Write-ins,79,75,4,0
Mercer,Township Auditor,Jackson Township,REP,SHIRLEY A MCINTIRE,322,281,41,0
Mercer,Township Auditor,Jackson Township,,Write-ins,8,7,1,0
Mercer,Township Auditor (4 Year),Jackson Township,,Write-ins,15,14,1,0
Mercer,Township Auditor (2 Year),Jackson Township,,Write-ins,7,6,1,0
Mercer,Judge of Elections,,REP,DEBORAH JEAN DUFF,314,280,34,0
Mercer,Inspector of Elections,,DEM,JANET BOWSER,200,153,47,0
Mercer,Mayor,Jamestown Borough,REP,JUSTIN PIPP,121,107,14,0
Mercer,Mayor,Jamestown Borough,,Write-ins,4,2,2,0
Mercer,Borough Council,Jamestown Borough,REP,THOMAS J KOZA,101,87,14,0
Mercer,Borough Council,Jamestown Borough,,Write-ins,46,43,3,0
Mercer,Tax Collector,Jamestown Borough,REP,DONNA L ADAMS,124,109,15,0
Mercer,Tax Collector,Jamestown Borough,,Write-ins,3,1,2,0
Mercer,Township Supervisor,Jefferson Township,REP,TONY SETTLE,410,346,64,0
Mercer,Township Supervisor,Jefferson Township,,Write-ins,10,8,2,0
Mercer,Township Auditor,Jefferson Township,,Write-ins,12,10,2,0
Mercer,Township Auditor (4 Year),Jefferson Township,,Write-ins,14,11,3,0
Mercer,Tax Collector,Jefferson Township,REP,JULIANNE RYLAND,408,346,62,0
Mercer,Tax Collector,Jefferson Township,,Write-ins,6,5,1,0
Mercer,Judge of Elections,,REP,BARBARA E MCWILLIAMS,416,355,61,0
Mercer,Inspector of Elections,,REP,RACHEL NICKEL,416,355,61,0
Mercer,School Director,West Middlesex,REP,JEFFREY SIMMONS,1168,991,175,2
Mercer,School Director,West Middlesex,D/R,ADAM SHRAWDER,1065,802,260,3
Mercer,School Director,West Middlesex,D/R,ASHLEY BUZARD,941,701,236,4
Mercer,School Director,West Middlesex,D/R,JOHN CONE,847,625,218,4
Mercer,School Director,West Middlesex,,Write-ins,37,33,4,0
Mercer,Township Supervisor,Lackawannock Township,DEM,ROBERT HOMER JOHNSON,734,612,120,2
Mercer,Township Supervisor,Lackawannock Township,REP,BOB KRUSEY,308,246,61,1
Mercer,Township Supervisor,Lackawannock Township,,Write-ins,11,10,1,0
Mercer,Township Supervisor,Lackawannock Township,REP,DAN RUPERT,251,202,48,1
Mercer,Township Auditor,Lackawannock Township,,Write-ins,9,7,2,0
Mercer,Township Auditor (4 Year),Lackawannock Township,,Write-ins,5,3,2,0
Mercer,Township Auditor (2 Year),Lackawannock Township,,Write-ins,5,3,2,0
Mercer,Tax Collector,Lackawannock Township,DEM,BRUCE GORLEY,402,312,89,1
Mercer,Tax Collector,Lackawannock Township,,Write-ins,3,2,1,0
Mercer,Judge of Elections,,REP,MAXANNE REED,448,378,68,2
Mercer,Inspector of Elections,,D/R,MICHELLE ROOT,457,361,95,1
Mercer,Township Supervisor,Lake Township,REP,HARRY C FAIRLAMB,143,132,11,0
Mercer,Township Supervisor,Lake Township,,Write-ins,4,3,1,0
Mercer,Township Auditor,Lake Township,,Write-ins,14,14,0,0
Mercer,Tax Collector,Lake Township,,Write-ins,27,21,6,0
Mercer,Judge of Elections,,REP,JUDITH A DREW,139,126,13,0
Mercer,Township Supervisor,Liberty Township,REP,JOSEPH MATTHEWS,393,328,65,0
Mercer,Township Supervisor,Liberty Township,,Write-ins,15,11,4,0
Mercer,Township Auditor,Liberty Township,,Write-ins,17,12,5,0
Mercer,Township Auditor (2 Year),Liberty Township,,Write-ins,15,12,3,0
Mercer,Tax Collector,Liberty Township,REP,BRENDA J HECK,379,319,60,0
Mercer,Tax Collector,Liberty Township,,Write-ins,11,6,5,0
Mercer,Judge of Elections,,REP,W DAVID MILLS,380,317,63,0
Mercer,Inspector of Elections,,REP,KATHLEEN HURD,326,294,32,0
Mercer,Inspector of Elections,,DEM,BEVERLY UBER,174,109,65,0
Mercer,School Director Region C,Mercer,D/R,ZACHARY J RYAN,413,320,93,0
Mercer,School Director Region C,Mercer,,Write-ins,7,7,0,0
Mercer,Mayor,Mercer Borough,REP,TRAVIS SCHAA,357,299,58,0
Mercer,Mayor,Mercer Borough,,Write-ins,28,22,6,0
Mercer,Borough Council,Mercer Borough,REP,DEBRA SICILIAN,289,259,30,0
Mercer,Borough Council,Mercer Borough,D/R,SAVANNAH BUNGER,255,187,68,0
Mercer,Borough Council,Mercer Borough,DEM,NICHOLAS C SICILIAN,265,190,75,0
Mercer,Borough Council,Mercer Borough,DEM,RICHARD KONZEN,197,127,70,0
Mercer,Borough Council,Mercer Borough,,Write-ins,20,18,2,0
Mercer,Borough Council,Mercer Borough,REP,ROBERT WILLIAM KISH,320,278,42,0
Mercer,Borough Council,Mercer Borough,DEM,JUSTIN WAGNER,256,174,82,0
Mercer,Tax Collector,Mercer Borough,REP,SUZANNE CARTER BARNER,444,359,85,0
Mercer,Tax Collector,Mercer Borough,,Write-ins,6,6,0,0
Mercer,Judge of Elections,,REP,CHUCK SCHWARTZ,207,179,28,0
Mercer,Inspector of Elections,,REP,STEVEN HESSMAN,206,180,26,0
Mercer,Judge of Elections,,REP,PATSY M HEATH,178,144,34,0
Mercer,Inspector of Elections,,DEM,RICHARD KONZEN,136,87,49,0
Mercer,Inspector of Elections,,REP,ROBERT L HEATH,116,106,10,0
Mercer,Township Supervisor,Mill Creek Township,,Write-ins,80,80,0,0
Mercer,Township Auditor,Mill Creek Township,,Write-ins,27,27,0,0
Mercer,Township Auditor (4 Year),Mill Creek Township,,Write-ins,24,24,0,0
Mercer,Tax Collector,Mill Creek Township,REP,DORIS FISHER,199,186,13,0
